Mixture	Ciliated	Basal	Secretory	Brush+PNEC	Rare Cell-Types
M.OA.M.N.WB.t1	0.445918487	0.195481642	0.24924336	0.029163301	0.08019321
Nafa.CH.M.N.BM.t1	0.471052841	0.021579084	0.357716361	0.037142457	0.112509259
Nafa.YA.M.N.CH.t1	0.568830909	0.081640805	0.259360882	0.023508413	0.066658991
Nafa.CH.F.N.HK.t1	0.257215504	0.067397118	0.514869764	0.05117237	0.109345243
Nafa.CH.M.N.LT.t1	0.456582266	0.139685918	0.259096665	0.028411225	0.116223927
Nafa.YA.M.N.MB.t1	0.410249889	0.09244818	0.354320419	0.043893819	0.099087694
Nafa.OA.M.N.PT.t1	0.389584065	0.178234151	0.322616992	0.021208341	0.088356452
Nafa.OA.F.N.RB.t1	0.358150357	0.181958516	0.37546407	0.010954058	0.073473
Nafa.OA.M.N.RG.t1	0.200409023	0.112067997	0.649433561	0.009576013	0.028513405
Nafa.YA.F.N.SLW.t1	0.461981888	0.090942038	0.316301162	0.043699777	0.087075135
V2.CH.M.N.376AC.t1	0.320531158	0.046802746	0.442645815	0.047752456	0.142267825
V2.CH.M.B.376AC.t1	0.414492016	0.041008971	0.338284471	0.048426005	0.157788536
V2.YA.M.N.7AC.t1	0.227638094	0.112393017	0.452258809	0.054042438	0.153667642
V2.CH.F.N.AC.t1	0.192621292	0.415334978	0.282353309	0.010975361	0.09871506
V2.CH.F.N.AC.t2	0.159211114	0.275694334	0.423934601	0.022598773	0.118561179
V2.CH.F.N.AM.t1	0.330641275	0.04332855	0.435499075	0.053682631	0.13684847
V2.CH.F.B.AM.t1	0.272364392	0.183799372	0.36145606	0.027633135	0.154747041
V2.YA.M.N.BC.t2	0.010064246	0.18696196	0.769263422	0.003505062	0.03020531
V2.CH.M.N.BM.t1	0.269744579	0.12864027	0.429016444	0.041252722	0.131345985
V2.YA.M.N.CH.t1	0.133331932	0.318398322	0.416410957	0.020371754	0.111487035
V2.CH.F.N.ED.t1	0.229473626	0.224457277	0.402041602	0.035325386	0.108702111
V2.CH.F.N.HK.t1	0.054117385	0.1653813	0.628111303	0.047909988	0.104480024
V2.CH.M.N.HL.t1	0.263646519	0.093056351	0.467419494	0.046636488	0.129241148
V2.CH.F.N.IB.t1	0.264736128	0.066111657	0.507891979	0.047977605	0.113282631
V2.CH.F.B.IB.t1	0.385294516	0.265039623	0.228633866	0.019173857	0.101858138
V2.CH.M.N.JA.t1	0.095963609	0.164796711	0.567591506	0.048267294	0.123380879
V2.OA.M.N.JW.t2	0.217517062	0.164601814	0.567327661	0.002451208	0.048102255
V2.OA.M.N.JW.t1	0.173725281	0.147961132	0.599587038	0.004322078	0.074404472
V2.CH.M.N.LT.t1	0.321198601	0.18512451	0.35692306	0.022124828	0.114629002
V2.YA.M.N.MB.t1	0.238197623	0.150931044	0.448521176	0.0496437	0.112706457
V2.YA.M.N.NiA.t1	0.285643681	0.17867081	0.34944969	0.037848343	0.148387475
V2.OA.M.N.NiT.t1	0.011760071	0.206146935	0.758737511	0.005867226	0.017488258
V2.OA.M.N.NiT.t2	0.278996582	0.178601021	0.419787102	0.014056954	0.108558341
V2.CH.M.N.NT.t1	0.181616376	0.272921371	0.387126952	0.037672916	0.120662385
V2.CH.M.N.NT.t2	0.190151769	0.268520651	0.377924028	0.037936802	0.125466748
V2.CH.M.B.NT.t1	0.262292375	0.330489825	0.250786665	0.022510643	0.133920492
V2.OA.F.N.RB.t1	0.120415816	0.219727841	0.559690477	0.005789999	0.094375867
V2.OA.M.N.RG.t1	0.09686076	0.132729171	0.736697989	0.006179016	0.027533064
V2.YA.M.N.SB.t1	0.408079007	0.179742799	0.240970124	0.030070741	0.141137328
V2.YA.F.N.SLW.t1	0.317227351	0.051474936	0.425544717	0.055871493	0.149881504
V2.CH.M.B.TJ.t1	0.323737252	0.148818737	0.39317752	0.021425938	0.112840553
V2.CH.M.N.TJ.t1	0.208360485	0.310635801	0.347815532	0.018160013	0.11502817
V2.OA.M.N.WB.t1	0.347950412	0.156514697	0.346345078	0.023814073	0.12537574
V2.OA.M.N.WB.t2	0.272295682	0.432910231	0.20156211	0.015344346	0.077887631
V6.OA.M.N.PT.t1	0.407203027	0.168236506	0.307511878	0.022712008	0.094336581
V6.CH.M.N.BM.t1	0.281838207	0.022108294	0.479084012	0.043077877	0.17389161
V6.CH.F.N.HK.t1	0.089619778	0.107352963	0.628069158	0.048706705	0.126251398
V6.CH.M.N.HL.t1	0.256520843	0.068462142	0.464659266	0.049325494	0.161032254
V6.OA.M.N.RG.t1	0.166011195	0.075240189	0.681959063	0.008083786	0.068705766
V6.YA.F.N.SLW.t1	0.590223256	0.033392102	0.265001616	0.038741081	0.072641945
V6.YA.M.N.CH.t1	0.367212567	0.216306797	0.291289037	0.023412544	0.101779056
V6.YA.M.N.MB.t1	0.422874875	0.090392414	0.351683575	0.043239772	0.091809364
V6.OA.F.N.AT.t1	0.232944422	0.163360482	0.560991283	0.01006008	0.032643733
