"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2"
"Renin secretion_Homo sapiens_hsa04924","",13105,2,2,63,0,0,1,1,"",""
"Gap junction_Homo sapiens_hsa04540","",13105,2,2,87,0,0,1,1,"",""
"Long-term depression_Homo sapiens_hsa04730","",13105,2,2,59,0,0,1,1,"",""
"Long-term potentiation_Homo sapiens_hsa04720","",13105,2,2,65,0,0,1,1,"",""
"GnRH signaling pathway_Homo sapiens_hsa04912","",13105,2,2,90,0,0,1,1,"",""
"Inflammatory mediator regulation of TRP channels_Homo sapiens_hsa04750","",13105,2,2,97,0,0,1,1,"",""
"Oxytocin signaling pathway_Homo sapiens_hsa04921","",13105,2,2,157,0,0,1,1,"",""
"Vascular smooth muscle contraction_Homo sapiens_hsa04270","",13105,2,2,119,0,0,1,1,"",""
"cGMP-PKG signaling pathway_Homo sapiens_hsa04022","",13105,2,2,166,0,0,1,1,"",""
"Adrenergic signaling in cardiomyocytes_Homo sapiens_hsa04261","",13105,2,2,147,0,0,1,1,"",""
"cAMP signaling pathway_Homo sapiens_hsa04024","",13105,2,2,198,0,0,1,1,"",""
"Regulation of lipolysis in adipocytes_Homo sapiens_hsa04923","",13105,2,2,55,0,0,1,1,"",""
"Platelet activation_Homo sapiens_hsa04611","",13105,2,2,121,0,0,1,1,"",""
"Chemokine signaling pathway_Homo sapiens_hsa04062","",13105,2,2,186,0,0,1,1,"",""
"Morphine addiction_Homo sapiens_hsa05032","",13105,2,2,90,0,0,1,1,"",""
"GABAergic synapse_Homo sapiens_hsa04727","",13105,2,2,87,0,0,1,1,"",""
"Retrograde endocannabinoid signaling_Homo sapiens_hsa04723","",13105,2,2,100,0,0,1,1,"",""
"Glutamatergic synapse_Homo sapiens_hsa04724","",13105,2,2,113,0,0,1,1,"",""
"Circadian entrainment_Homo sapiens_hsa04713","",13105,2,2,94,0,0,1,1,"",""
"Dopaminergic synapse_Homo sapiens_hsa04728","",13105,2,2,128,0,0,1,1,"",""
"Serotonergic synapse_Homo sapiens_hsa04726","",13105,2,2,111,0,0,1,1,"",""
"Cholinergic synapse_Homo sapiens_hsa04725","",13105,2,2,110,0,0,1,1,"",""
"Estrogen signaling pathway_Homo sapiens_hsa04915","",13105,2,2,98,0,0,1,1,"",""
"Aldosterone synthesis and secretion_Homo sapiens_hsa04925","",13105,2,2,80,0,0,1,1,"",""
"Insulin secretion_Homo sapiens_hsa04911","",13105,2,2,84,0,0,1,1,"",""
"Thyroid hormone synthesis_Homo sapiens_hsa04918","",13105,2,2,70,0,0,1,1,"",""
"Gastric acid secretion_Homo sapiens_hsa04971","",13105,2,2,73,0,0,1,1,"",""
"Salivary secretion_Homo sapiens_hsa04970","",13105,2,2,88,0,0,1,1,"",""
"Pancreatic secretion_Homo sapiens_hsa04972","",13105,2,2,95,0,0,1,1,"",""
"Endocrine and other factor-regulated calcium reabsorption_Homo sapiens_hsa04961","",13105,2,2,46,0,0,1,1,"",""
"Bile secretion_Homo sapiens_hsa04976","",13105,2,2,70,0,0,1,1,"",""
"Ovarian steroidogenesis_Homo sapiens_hsa04913","",13105,2,2,49,0,0,1,1,"",""
"Vasopressin-regulated water reabsorption_Homo sapiens_hsa04962","",13105,2,2,43,0,0,1,1,"",""
"Cocaine addiction_Homo sapiens_hsa05030","",13105,2,2,48,0,0,1,1,"",""
"Amphetamine addiction_Homo sapiens_hsa05031","",13105,2,2,66,0,0,1,1,"",""
"Glucagon signaling pathway_Homo sapiens_hsa04922","",13105,2,2,100,0,0,1,1,"",""
"Adipocytokine signaling pathway_Homo sapiens_hsa04920","",13105,2,2,69,0,0,1,1,"",""
"Insulin resistance_Homo sapiens_hsa04931","",13105,2,2,108,0,0,1,1,"",""
"Insulin signaling pathway_Homo sapiens_hsa04910","",13105,2,2,138,0,0,1,1,"",""
"Type II diabetes mellitus_Homo sapiens_hsa04930","",13105,2,2,47,0,0,1,1,"",""
"Longevity regulating pathway - multiple species_Homo sapiens_hsa04213","",13105,2,2,63,0,0,1,1,"",""
"Longevity regulating pathway - mammal_Homo sapiens_hsa04211","",13105,2,2,93,0,0,1,1,"",""
"AMPK signaling pathway_Homo sapiens_hsa04152","",13105,2,2,123,0,0,1,1,"",""
"mTOR signaling pathway_Homo sapiens_hsa04150","",13105,2,2,59,0,0,1,1,"",""
"Aldosterone-regulated sodium reabsorption_Homo sapiens_hsa04960","",13105,2,2,38,0,0,1,1,"",""
"Carbohydrate digestion and absorption_Homo sapiens_hsa04973","",13105,2,2,44,0,0,1,1,"",""
"Thyroid hormone signaling pathway_Homo sapiens_hsa04919","",13105,2,2,117,0,0,1,1,"",""
"Sphingolipid signaling pathway_Homo sapiens_hsa04071","",13105,2,2,119,0,0,1,1,"",""
"Chagas disease (American trypanosomiasis)_Homo sapiens_hsa05142","",13105,2,2,103,0,0,1,1,"",""
"AGE-RAGE signaling pathway in diabetic complications_Homo sapiens_hsa04933","",13105,2,2,100,0,0,1,1,"",""
"Amoebiasis_Homo sapiens_hsa05146","",13105,2,2,99,0,0,1,1,"",""
"Natural killer cell mediated cytotoxicity_Homo sapiens_hsa04650","",13105,2,2,134,0,0,1,1,"",""
"Fc gamma R-mediated phagocytosis_Homo sapiens_hsa04666","",13105,2,2,92,0,0,1,1,"",""
"Choline metabolism in cancer_Homo sapiens_hsa05231","",13105,2,2,100,0,0,1,1,"",""
"Phospholipase D signaling pathway_Homo sapiens_hsa04072","",13105,2,2,143,0,0,1,1,"",""
"Central carbon metabolism in cancer_Homo sapiens_hsa05230","",13105,2,2,66,0,0,1,1,"",""
"HIF-1 signaling pathway_Homo sapiens_hsa04066","",13105,2,2,102,0,0,1,1,"",""
"Renal cell carcinoma_Homo sapiens_hsa05211","",13105,2,2,65,0,0,1,1,"",""
"ErbB signaling pathway_Homo sapiens_hsa04012","",13105,2,2,86,0,0,1,1,"",""
"Acute myeloid leukemia_Homo sapiens_hsa05221","",13105,2,2,56,0,0,1,1,"",""
"Endometrial cancer_Homo sapiens_hsa05213","",13105,2,2,51,0,0,1,1,"",""
"Colorectal cancer_Homo sapiens_hsa05210","",13105,2,2,61,0,0,1,1,"",""
"Pancreatic cancer_Homo sapiens_hsa05212","",13105,2,2,65,0,0,1,1,"",""
"Chronic myeloid leukemia_Homo sapiens_hsa05220","",13105,2,2,72,0,0,1,1,"",""
"Prostate cancer_Homo sapiens_hsa05215","",13105,2,2,88,0,0,1,1,"",""
"Melanoma_Homo sapiens_hsa05218","",13105,2,2,70,0,0,1,1,"",""
"Glioma_Homo sapiens_hsa05214","",13105,2,2,64,0,0,1,1,"",""
"Non-small cell lung cancer_Homo sapiens_hsa05223","",13105,2,2,55,0,0,1,1,"",""
"VEGF signaling pathway_Homo sapiens_hsa04370","",13105,2,2,60,0,0,1,1,"",""
"Fc epsilon RI signaling pathway_Homo sapiens_hsa04664","",13105,2,2,67,0,0,1,1,"",""
"B cell receptor signaling pathway_Homo sapiens_hsa04662","",13105,2,2,72,0,0,1,1,"",""
"T cell receptor signaling pathway_Homo sapiens_hsa04660","",13105,2,2,103,0,0,1,1,"",""
"Neurotrophin signaling pathway_Homo sapiens_hsa04722","",13105,2,2,119,0,0,1,1,"",""
"Prolactin signaling pathway_Homo sapiens_hsa04917","",13105,2,2,71,0,0,1,1,"",""
"FoxO signaling pathway_Homo sapiens_hsa04068","",13105,2,2,132,0,0,1,1,"",""
"MAPK signaling pathway_Homo sapiens_hsa04010","",13105,2,2,254,0,0,1,1,"",""
"Ras signaling pathway_Homo sapiens_hsa04014","",13105,2,2,226,0,0,1,1,"",""
"Rap1 signaling pathway_Homo sapiens_hsa04015","",13105,2,2,210,0,0,1,1,"",""
"Regulation of actin cytoskeleton_Homo sapiens_hsa04810","",13105,2,2,213,0,0,1,1,"",""
"Focal adhesion_Homo sapiens_hsa04510","",13105,2,2,201,0,0,1,1,"",""
"ECM-receptor interaction_Homo sapiens_hsa04512","",13105,2,2,81,0,0,1,1,"",""
"PI3K-Akt signaling pathway_Homo sapiens_hsa04151","",13105,2,2,340,0,0,1,1,"",""
"Pathways in cancer_Homo sapiens_hsa05200","",13105,2,2,396,0,0,1,1,"",""
"Small cell lung cancer_Homo sapiens_hsa05222","",13105,2,2,85,0,0,1,1,"",""
"Apoptosis_Homo sapiens_hsa04210","",13105,2,2,139,0,0,1,1,"",""
"NF-kappa B signaling pathway_Homo sapiens_hsa04064","",13105,2,2,92,0,0,1,1,"",""
"Osteoclast differentiation_Homo sapiens_hsa04380","",13105,2,2,131,0,0,1,1,"",""
"TNF signaling pathway_Homo sapiens_hsa04668","",13105,2,2,109,0,0,1,1,"",""
"NOD-like receptor signaling pathway_Homo sapiens_hsa04621","",13105,2,2,56,0,0,1,1,"",""
"Cytosolic DNA-sensing pathway_Homo sapiens_hsa04623","",13105,2,2,63,0,0,1,1,"",""
"RIG-I-like receptor signaling pathway_Homo sapiens_hsa04622","",13105,2,2,69,0,0,1,1,"",""
"Toll-like receptor signaling pathway_Homo sapiens_hsa04620","",13105,2,2,105,0,0,1,1,"",""
"Hepatitis C_Homo sapiens_hsa05160","",13105,2,2,132,0,0,1,1,"",""
"Hepatitis B_Homo sapiens_hsa05161","",13105,2,2,145,0,0,1,1,"",""
"Measles_Homo sapiens_hsa05162","",13105,2,2,135,0,0,1,1,"",""
"Influenza A_Homo sapiens_hsa05164","",13105,2,2,174,0,0,1,1,"",""
"Herpes simplex infection_Homo sapiens_hsa05168","",13105,2,2,184,0,0,1,1,"",""
"Epstein-Barr virus infection_Homo sapiens_hsa05169","",13105,2,2,201,0,0,1,1,"",""
"Viral carcinogenesis_Homo sapiens_hsa05203","",13105,2,2,204,0,0,1,1,"",""
"MicroRNAs in cancer_Homo sapiens_hsa05206","",13105,2,2,296,0,0,1,1,"",""
"Bladder cancer_Homo sapiens_hsa05219","",13105,2,2,40,0,0,1,1,"",""
"Thyroid cancer_Homo sapiens_hsa05216","",13105,2,2,28,0,0,1,1,"",""
"Dorso-ventral axis formation_Homo sapiens_hsa04320","",13105,2,2,26,0,0,1,1,"",""
"TGF-beta signaling pathway_Homo sapiens_hsa04350","",13105,2,2,83,0,0,1,1,"",""
"Hippo signaling pathway_Homo sapiens_hsa04390","",13105,2,2,152,0,0,1,1,"",""
"Basal cell carcinoma_Homo sapiens_hsa05217","",13105,2,2,54,0,0,1,1,"",""
"Hedgehog signaling pathway_Homo sapiens_hsa04340","",13105,2,2,49,0,0,1,1,"",""
"Wnt signaling pathway_Homo sapiens_hsa04310","",13105,2,2,141,0,0,1,1,"",""
"Melanogenesis_Homo sapiens_hsa04916","",13105,2,2,99,0,0,1,1,"",""
"Proteoglycans in cancer_Homo sapiens_hsa05205","",13105,2,2,202,0,0,1,1,"",""
"Signaling pathways regulating pluripotency of stem cells_Homo sapiens_hsa04550","",13105,2,2,141,0,0,1,1,"",""
"HTLV-I infection_Homo sapiens_hsa05166","",13105,2,2,257,0,0,1,1,"",""
"Progesterone-mediated oocyte maturation_Homo sapiens_hsa04914","",13105,2,2,97,0,0,1,1,"",""
"Oocyte meiosis_Homo sapiens_hsa04114","",13105,2,2,122,0,0,1,1,"",""
"Cell cycle_Homo sapiens_hsa04110","",13105,2,2,123,0,0,1,1,"",""
"p53 signaling pathway_Homo sapiens_hsa04115","",13105,2,2,68,0,0,1,1,"",""
"Ubiquitin mediated proteolysis_Homo sapiens_hsa04120","",13105,2,2,136,0,0,1,1,"",""
"Axon guidance_Homo sapiens_hsa04360","",13105,2,2,126,0,0,1,1,"",""
"Endocytosis_Homo sapiens_hsa04144","",13105,2,2,258,0,0,1,1,"",""
"Bacterial invasion of epithelial cells_Homo sapiens_hsa05100","",13105,2,2,77,0,0,1,1,"",""
"Shigellosis_Homo sapiens_hsa05131","",13105,2,2,64,0,0,1,1,"",""
"Salmonella infection_Homo sapiens_hsa05132","",13105,2,2,85,0,0,1,1,"",""
"Pathogenic Escherichia coli infection_Homo sapiens_hsa05130","",13105,2,2,54,0,0,1,1,"",""
"Leukocyte transendothelial migration_Homo sapiens_hsa04670","",13105,2,2,117,0,0,1,1,"",""
"Tight junction_Homo sapiens_hsa04530","",13105,2,2,138,0,0,1,1,"",""
"Adherens junction_Homo sapiens_hsa04520","",13105,2,2,73,0,0,1,1,"",""
"Arrhythmogenic right ventricular cardiomyopathy (ARVC)_Homo sapiens_hsa05412","",13105,2,2,73,0,0,1,1,"",""
"Hypertrophic cardiomyopathy (HCM)_Homo sapiens_hsa05410","",13105,2,2,82,0,0,1,1,"",""
"Dilated cardiomyopathy_Homo sapiens_hsa05414","",13105,2,2,89,0,0,1,1,"",""
"Cardiac muscle contraction_Homo sapiens_hsa04260","",13105,2,2,77,0,0,1,1,"",""
"Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932","",13105,2,2,150,0,0,1,1,"",""
"Alzheimer's disease_Homo sapiens_hsa05010","",13105,2,2,167,0,0,1,1,"",""
"Oxidative phosphorylation_Homo sapiens_hsa00190","",13105,2,2,132,0,0,1,1,"",""
"Parkinson's disease_Homo sapiens_hsa05012","",13105,2,2,141,0,0,1,1,"",""
"Huntington's disease_Homo sapiens_hsa05016","",13105,2,2,192,0,0,1,1,"",""
"Metabolic pathways_Homo sapiens_hsa01100","",13105,2,2,397,0,0,1,1,"",""
"IDS,1.0","ST8SIA5,1.0",13105,2,2,398,0,0,1,1,"",""
"CKB,1.0","GCNT4,1.0",13105,2,2,398,0,0,1,1,"",""
"GMPPA,1.0","PLCZ1,1.0",13105,2,2,39,0,0,1,1,"",""
"Amyotrophic lateral sclerosis (ALS)_Homo sapiens_hsa05014","",13105,2,2,50,0,0,1,1,"",""
"Nicotine addiction_Homo sapiens_hsa05033","",13105,2,2,39,0,0,1,1,"",""
"Neuroactive ligand-receptor interaction_Homo sapiens_hsa04080","",13105,2,2,276,0,0,1,1,"",""
"Taste transduction_Homo sapiens_hsa04742","",13105,2,2,82,0,0,1,1,"",""
"Olfactory transduction_Homo sapiens_hsa04740","",13105,2,2,397,0,0,1,1,"",""
"OR4F16,1.0","OR4F15,1.0",13105,2,2,15,0,0,1,1,"",""
"Phototransduction_Homo sapiens_hsa04744","",13105,2,2,26,0,0,1,1,"",""
"Circadian rhythm_Homo sapiens_hsa04710","",13105,2,2,29,0,0,1,1,"",""
"Glycerolipid metabolism_Homo sapiens_hsa00561","",13105,2,2,58,0,0,1,1,"",""
"Glycerophospholipid metabolism_Homo sapiens_hsa00564","",13105,2,2,94,0,0,1,1,"",""
"Ether lipid metabolism_Homo sapiens_hsa00565","",13105,2,2,44,0,0,1,1,"",""
"alpha-Linolenic acid metabolism_Homo sapiens_hsa00592","",13105,2,2,24,0,0,1,1,"",""
"Linoleic acid metabolism_Homo sapiens_hsa00591","",13105,2,2,28,0,0,1,1,"",""
"Arachidonic acid metabolism_Homo sapiens_hsa00590","",13105,2,2,61,0,0,1,1,"",""
"Fat digestion and absorption_Homo sapiens_hsa04975","",13105,2,2,40,0,0,1,1,"",""
"Vitamin digestion and absorption_Homo sapiens_hsa04977","",13105,2,2,23,0,0,1,1,"",""
"Notch signaling pathway_Homo sapiens_hsa04330","",13105,2,2,47,0,0,1,1,"",""
"Maturity onset diabetes of the young_Homo sapiens_hsa04950","",13105,2,2,25,0,0,1,1,"",""
"Basal transcription factors_Homo sapiens_hsa03022","",13105,2,2,44,0,0,1,1,"",""
"Nucleotide excision repair_Homo sapiens_hsa03420","",13105,2,2,46,0,0,1,1,"",""
"Mismatch repair_Homo sapiens_hsa03430","",13105,2,2,22,0,0,1,1,"",""
"DNA replication_Homo sapiens_hsa03030","",13105,2,2,35,0,0,1,1,"",""
"Base excision repair_Homo sapiens_hsa03410","",13105,2,2,32,0,0,1,1,"",""
"Homologous recombination_Homo sapiens_hsa03440","",13105,2,2,28,0,0,1,1,"",""
"Fanconi anemia pathway_Homo sapiens_hsa03460","",13105,2,2,52,0,0,1,1,"",""
"RNA polymerase_Homo sapiens_hsa03020","",13105,2,2,31,0,0,1,1,"",""
"Pyrimidine metabolism_Homo sapiens_hsa00240","",13105,2,2,104,0,0,1,1,"",""
"Purine metabolism_Homo sapiens_hsa00230","",13105,2,2,175,0,0,1,1,"",""
"Nicotinate and nicotinamide metabolism_Homo sapiens_hsa00760","",13105,2,2,28,0,0,1,1,"",""
"Non-homologous end-joining_Homo sapiens_hsa03450","",13105,2,2,12,0,0,1,1,"",""
"Primary immunodeficiency_Homo sapiens_hsa05340","",13105,2,2,36,0,0,1,1,"",""
"ABC transporters_Homo sapiens_hsa02010","",13105,2,2,43,0,0,1,1,"",""
"Proteasome_Homo sapiens_hsa03050","",13105,2,2,43,0,0,1,1,"",""
"Vitamin B6 metabolism_Homo sapiens_hsa00750","",13105,2,2,5,0,0,1,1,"",""
"Nitrogen metabolism_Homo sapiens_hsa00910","",13105,2,2,16,0,0,1,1,"",""
"Alanine, aspartate and glutamate metabolism_Homo sapiens_hsa00250","",13105,2,2,34,0,0,1,1,"",""
"Arginine biosynthesis_Homo sapiens_hsa00220","",13105,2,2,19,0,0,1,1,"",""
"Proximal tubule bicarbonate reclamation_Homo sapiens_hsa04964","",13105,2,2,22,0,0,1,1,"",""
"Mineral absorption_Homo sapiens_hsa04978","",13105,2,2,50,0,0,1,1,"",""
"Protein digestion and absorption_Homo sapiens_hsa04974","",13105,2,2,89,0,0,1,1,"",""
"Renin-angiotensin system_Homo sapiens_hsa04614","",13105,2,2,22,0,0,1,1,"",""
"Glutathione metabolism_Homo sapiens_hsa00480","",13105,2,2,51,0,0,1,1,"",""
"Cyanoamino acid metabolism_Homo sapiens_hsa00460","",13105,2,2,6,0,0,1,1,"",""
"Taurine and hypotaurine metabolism_Homo sapiens_hsa00430","",13105,2,2,10,0,0,1,1,"",""
"Caffeine metabolism_Homo sapiens_hsa00232","",13105,2,2,4,0,0,1,1,"",""
"Chemical carcinogenesis_Homo sapiens_hsa05204","",13105,2,2,81,0,0,1,1,"",""
"Metabolism of xenobiotics by cytochrome P450_Homo sapiens_hsa00980","",13105,2,2,72,0,0,1,1,"",""
"Drug metabolism - cytochrome P450_Homo sapiens_hsa00982","",13105,2,2,68,0,0,1,1,"",""
"Retinol metabolism_Homo sapiens_hsa00830","",13105,2,2,64,0,0,1,1,"",""
"Steroid hormone biosynthesis_Homo sapiens_hsa00140","",13105,2,2,57,0,0,1,1,"",""
"Drug metabolism - other enzymes_Homo sapiens_hsa00983","",13105,2,2,45,0,0,1,1,"",""
"Porphyrin and chlorophyll metabolism_Homo sapiens_hsa00860","",13105,2,2,41,0,0,1,1,"",""
"Ascorbate and aldarate metabolism_Homo sapiens_hsa00053","",13105,2,2,26,0,0,1,1,"",""
"Pentose and glucuronate interconversions_Homo sapiens_hsa00040","",13105,2,2,35,0,0,1,1,"",""
"Starch and sucrose metabolism_Homo sapiens_hsa00500","",13105,2,2,55,0,0,1,1,"",""
"Galactose metabolism_Homo sapiens_hsa00052","",13105,2,2,29,0,0,1,1,"",""
"Butirosin and neomycin biosynthesis_Homo sapiens_hsa00524","",13105,2,2,4,0,0,1,1,"",""
"Amino sugar and nucleotide sugar metabolism_Homo sapiens_hsa00520","",13105,2,2,47,0,0,1,1,"",""
"Fructose and mannose metabolism_Homo sapiens_hsa00051","",13105,2,2,31,0,0,1,1,"",""
"Pentose phosphate pathway_Homo sapiens_hsa00030","",13105,2,2,28,0,0,1,1,"",""
"Carbon metabolism_Homo sapiens_hsa01200","",13105,2,2,112,0,0,1,1,"",""
"Biosynthesis of amino acids_Homo sapiens_hsa01230","",13105,2,2,73,0,0,1,1,"",""
"2-Oxocarboxylic acid metabolism_Homo sapiens_hsa01210","",13105,2,2,16,0,0,1,1,"",""
"Citrate cycle (TCA cycle)_Homo sapiens_hsa00020","",13105,2,2,29,0,0,1,1,"",""
"Pyruvate metabolism_Homo sapiens_hsa00620","",13105,2,2,39,0,0,1,1,"",""
"Glycolysis / Gluconeogenesis_Homo sapiens_hsa00010","",13105,2,2,66,0,0,1,1,"",""
"Glycine, serine and threonine metabolism_Homo sapiens_hsa00260","",13105,2,2,39,0,0,1,1,"",""
"Glyoxylate and dicarboxylate metabolism_Homo sapiens_hsa00630","",13105,2,2,27,0,0,1,1,"",""
"Pantothenate and CoA biosynthesis_Homo sapiens_hsa00770","",13105,2,2,17,0,0,1,1,"",""
"Cysteine and methionine metabolism_Homo sapiens_hsa00270","",13105,2,2,44,0,0,1,1,"",""
"Phenylalanine, tyrosine and tryptophan biosynthesis_Homo sapiens_hsa00400","",13105,2,2,4,0,0,1,1,"",""
"Phenylalanine metabolism_Homo sapiens_hsa00360","",13105,2,2,16,0,0,1,1,"",""
"Tyrosine metabolism_Homo sapiens_hsa00350","",13105,2,2,34,0,0,1,1,"",""
"Ubiquinone and other terpenoid-quinone biosynthesis_Homo sapiens_hsa00130","",13105,2,2,10,0,0,1,1,"",""
"Terpenoid backbone biosynthesis_Homo sapiens_hsa00900","",13105,2,2,21,0,0,1,1,"",""
"Synthesis and degradation of ketone bodies_Homo sapiens_hsa00072","",13105,2,2,9,0,0,1,1,"",""
"Butanoate metabolism_Homo sapiens_hsa00650","",13105,2,2,27,0,0,1,1,"",""
"Valine, leucine and isoleucine degradation_Homo sapiens_hsa00280","",13105,2,2,47,0,0,1,1,"",""
"Propanoate metabolism_Homo sapiens_hsa00640","",13105,2,2,31,0,0,1,1,"",""
"beta-Alanine metabolism_Homo sapiens_hsa00410","",13105,2,2,30,0,0,1,1,"",""
"Histidine metabolism_Homo sapiens_hsa00340","",13105,2,2,23,0,0,1,1,"",""
"Arginine and proline metabolism_Homo sapiens_hsa00330","",13105,2,2,49,0,0,1,1,"",""
"Tryptophan metabolism_Homo sapiens_hsa00380","",13105,2,2,39,0,0,1,1,"",""
"Lysine degradation_Homo sapiens_hsa00310","",13105,2,2,51,0,0,1,1,"",""
"Fatty acid elongation_Homo sapiens_hsa00062","",13105,2,2,24,0,0,1,1,"",""
"Biosynthesis of unsaturated fatty acids_Homo sapiens_hsa01040","",13105,2,2,22,0,0,1,1,"",""
"Fatty acid metabolism_Homo sapiens_hsa01212","",13105,2,2,47,0,0,1,1,"",""
