"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120","X121","X122","X123","X124","X125","X126","X127","X128","X129","X130","X131","X132","X133","X134","X135","X136","X137","X138","X139","X140","X141","X142","X143","X144","X145","X146","X147","X148","X149","X150","X151","X152","X153","X154","X155","X156","X157","X158","X159","X160","X161","X162","X163","X164","X165","X166","X167","X168","X169","X170","X171","X172","X173","X174","X175","X176","X177","X178","X179","X180","X181","X182","X183","X184","X185","X186","X187","X188","X189","X190","X191","X192","X193","X194","X195","X196","X197","X198","X199","X200","X201","X202","X203","X204","X205","X206","X207","X208","X209","X210","X211","X212","X213","X214","X215","X216","X217","X218","X219","X220","X221","X222","X223","X224","X225","X226","X227","X228","X229","X230","X231","X232","X233","X234","X235","X236","X237","X238","X239","X240","X241","X242","X243","X244","X245","X246","X247","X248","X249","X250","X251","X252","X253","X254","X255","X256","X257","X258","X259","X260","X261","X262","X263","X264","X265","X266","X267","X268","X269","X270","X271","X272","X273","X274","X275","X276"
"MODULE_214","http://www.broadinstitute.org/gsea/msigdb/cards/MODULE_214",8405,518,276,27,7,0.259259259259259,1.9264603460014e-05,0.00830304409126602,"GABRB3","GABRG2","ACCN1","CHRNA4","RYR1","GABRD","GABRA5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MODULE_47","http://www.broadinstitute.org/gsea/msigdb/cards/MODULE_47",8405,518,276,225,20,0.0888888888888889,4.73727958828049e-05,0.0204176750254889,"COL1A1","COL6A3","PCOLCE","COL3A1","LUM","COL6A2","RARRES2","COL1A2","TGFBI","EMP3","SERPINE1","IGFBP3","LOXL1","PDPN","NNMT","SV2B","LOX","POSTN","HOXA5","TNFAIP6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MODULE_215","http://www.broadinstitute.org/gsea/msigdb/cards/MODULE_215",8405,518,276,15,5,0.333333333333333,8.43582810936597e-05,0.0363584191513673,"GABRB3","GABRG2","GABRD","GABRA5","GABRB2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MODULE_220","http://www.broadinstitute.org/gsea/msigdb/cards/MODULE_220",8405,518,276,333,25,0.0750750750750751,9.19068247586133e-05,0.0396118414709623,"COL1A1","COL6A3","LUM","EMP3","L1CAM","S100A4","RTN1","NRGN","IL8","HOXB2","HLF","CBLN1","TBR1","LIF","ACCN1","CPNE6","HOXA5","CHRNA4","CHRM1","CXCL10","HOXA4","RELN","SH3GL2","ADAM12","WNT7B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MODULE_84","http://www.broadinstitute.org/gsea/msigdb/cards/MODULE_84",8405,518,276,549,34,0.0619307832422587,0.000237926002148349,0.102546106925938,"COL6A3","PCOLCE","IGFBP2","COL6A2","RARRES2","SLPI","NAMPT","COL1A2","TGFBI","EMP3","F13A1","SERPINE1","IGFBP3","SNCG","NNMT","S100A4","ADM","SPP1","S100A8","NRGN","MMP9","S100A9","CHI3L2","IL8","SELL","LTF","LIF","KIF21B","CA4","SCN2B","PDE2A","LGALS3","TNFAIP6","FCGR2B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MODULE_6","http://www.broadinstitute.org/gsea/msigdb/cards/MODULE_6",8405,518,276,416,27,0.0649038461538462,0.000524435083914668,0.226031521167222,"COL6A3","PCOLCE","IGFBP2","VEGFA","LUM","COL6A2","PLA2G2A","RARRES2","SLPI","COL1A2","TGFBI","EMP3","IGFBP3","FMOD","NNMT","GDF15","S100A4","PDLIM4","ADM","ANK3","S100A8","S100A9","IL8","LTF","HOXB2","PLIN1","HLF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MODULE_41","http://www.broadinstitute.org/gsea/msigdb/cards/MODULE_41",8405,518,276,566,33,0.0583038869257951,0.000860420272714367,0.370841137539892,"COL1A1","L1CAM","SNAP25","S100A4","LOX","PLIN1","REPS2","NRXN1","RUNDC3A","RASL10A","CBLN1","GAD2","TBR1","HTR2A","ATP6V1G2","LIF","KIF21B","SCN2B","SLC17A7","RIMS2","PSD","PHYHIP","ABCC8","SLC1A6","SULT4A1","ACCN1","NTSR2","SEZ6L","PCBP3","SLC6A7","TUB","TNR","GPR17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MODULE_5","http://www.broadinstitute.org/gsea/msigdb/cards/MODULE_5",8405,518,276,434,27,0.0622119815668203,0.00100047439780661,0.431204465454651,"COL6A3","PCOLCE","COL3A1","VEGFA","LUM","COL6A2","RARRES2","SLPI","NAMPT","COL1A2","TGFBI","EMP3","F13A1","NNMT","S100A4","ADM","S100A8","ANXA2","PTX3","NRGN","MMP9","POSTN","S100A9","HP","CHI3L2","IL8","SELL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MODULE_1","http://www.broadinstitute.org/gsea/msigdb/cards/MODULE_1",8405,518,276,368,24,0.0652173913043478,0.00100355815774619,0.432533565988607,"COL1A1","COL6A3","PCOLCE","COL3A1","IGFBP2","VEGFA","CHGA","LUM","COL6A2","PLA2G2A","RARRES2","SLPI","NAMPT","COL1A2","TGFBI","GABBR1","EMP3","F13A1","SERPINE1","IGFBP3","SNCG","LOXL1","FMOD","PDPN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MODULE_24","http://www.broadinstitute.org/gsea/msigdb/cards/MODULE_24",8405,518,276,453,27,0.0596026490066225,0.0018750814632918,0.808160110678767,"COL1A1","COL6A3","PCOLCE","COL3A1","IGFBP2","VEGFA","COL6A2","PLA2G2A","RARRES2","SLPI","COL1A2","TGFBI","SERPINE1","IGFBP3","NNMT","GDF15","S100A4","ADM","SPP1","S100A8","VSNL1","PTTG1","S100A9","HP","LTF","HTR2A","NTSR2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MODULE_122","http://www.broadinstitute.org/gsea/msigdb/cards/MODULE_122",8405,518,276,141,12,0.0851063829787234,0.00227115160023392,0.978866339700818,"COL1A1","COL6A3","COL3A1","COL6A2","TGFBI","L1CAM","POSTN","IL8","SELL","RELN","COL5A1","ADAM12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MODULE_3","http://www.broadinstitute.org/gsea/msigdb/cards/MODULE_3",8405,518,276,385,12,0.0311688311688312,0.616636910461468,1,"IGFBP2","EMP3","SERPINE1","NNMT","GDF15","PDLIM4","PTTG1","IGF2BP3","ANXA2","LOX","PTX3","ESM1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MODULE_4","http://www.broadinstitute.org/gsea/msigdb/cards/MODULE_4",8405,518,276,21,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MODULE_7","http://www.broadinstitute.org/gsea/msigdb/cards/MODULE_7",8405,518,276,239,12,0.0502092050209205,0.0946014916979073,1,"SNAP25","LOX","PLIN1","REPS2","NRXN1","RUNDC3A","RASL10A","CBLN1","GAD2","TBR1","HTR2A","ATP6V1G2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
