"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8"
"vacuolar acidification (GO:0007035)",NA,9330,22,8,19,0,0,0.0161819139179614,1,"","","","","","","",""
"regulation of protein localization to early endosome (GO:1902965)",NA,9330,22,8,5,0,0,0.00428081572679273,1,"","","","","","","",""
"positive regulation of cellular metabolic process (GO:0031325)",NA,9330,22,8,91,0,0,0.075442890343938,1,"","","","","","","",""
"regulation of DNA methylation (GO:0044030)",NA,9330,22,8,7,0,0,0.00598864700325075,1,"","","","","","","",""
"sulfur compound biosynthetic process (GO:0044272)",NA,9330,22,8,121,0,0,0.0991976729518658,1,"","","","","","","",""
"induction of positive chemotaxis (GO:0050930)",NA,9330,22,8,9,0,0,0.00769391465625335,1,"","","","","","","",""
"ATP hydrolysis coupled proton transport (GO:0015991)",NA,9330,22,8,6,0,0,0.00513505202429265,1,"","","","","","","",""
"positive regulation of transforming growth factor beta receptor signaling pathway (GO:0030511)",NA,9330,22,8,18,0,0,0.0153359826315622,1,"","","","","","","",""
"nucleotide-excision repair (GO:0006289)",NA,9330,22,8,107,0,0,0.0881794196656007,1,"","","","","","","",""
"positive regulation of RNA metabolic process (GO:0051254)",NA,9330,22,8,34,0,0,0.028794795906706,1,"","","","","","","",""
"negative regulation of innate immune response (GO:0045824)",NA,9330,22,8,19,0,0,0.0161819139179614,1,"","","","","","","",""
"protein localization to basolateral plasma membrane (GO:1903361)",NA,9330,22,8,6,0,0,0.00513505202429265,1,"","","","","","","",""
"negative regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway (GO:0039532)",NA,9330,22,8,9,0,0,0.00769391465625335,1,"","","","","","","",""
"cellular transition metal ion homeostasis (GO:0046916)",NA,9330,22,8,92,0,0,0.0762434593316261,1,"","","","","","","",""
"regulation of response to stress (GO:0080134)",NA,9330,22,8,9,0,0,0.00769391465625335,1,"","","","","","","",""
"pulmonary valve morphogenesis (GO:0003184)",NA,9330,22,8,11,0,0,0.00939662198500957,1,"","","","","","","",""
"DNA-templated transcriptional preinitiation complex assembly (GO:0070897)",NA,9330,22,8,12,0,0,0.0102470165578307,1,"","","","","","","",""
"negative regulation of membrane potential (GO:0045837)",NA,9330,22,8,5,0,0,0.00428081572679273,1,"","","","","","","",""
"glucan catabolic process (GO:0009251)",NA,9330,22,8,17,0,0,0.0144894149648299,1,"","","","","","","",""
"membrane raft polarization (GO:0001766)",NA,9330,22,8,6,0,0,0.00513505202429265,1,"","","","","","","",""
"peptidyl-cysteine modification (GO:0018198)",NA,9330,22,8,7,0,0,0.00598864700325075,1,"","","","","","","",""
"positive regulation of peptidyl-lysine acetylation (GO:2000758)",NA,9330,22,8,14,0,0,0.0119458895784953,1,"","","","","","","",""
"Golgi to lysosome transport (GO:0090160)",NA,9330,22,8,7,0,0,0.00598864700325075,1,"","","","","","","",""
"quaternary ammonium group transport (GO:0015697)",NA,9330,22,8,5,0,0,0.00428081572679273,1,"","","","","","","",""
"hyaluronan metabolic process (GO:0030212)",NA,9330,22,8,20,0,0,0.0170272092341096,1,"","","","","","","",""
"positive regulation of histone methylation (GO:0031062)",NA,9330,22,8,23,0,0,0.0195592834585759,1,"","","","","","","",""
"epithelial tube morphogenesis (GO:0060562)",NA,9330,22,8,33,0,0,0.0279583612385239,1,"","","","","","","",""
"biomineral tissue development (GO:0031214)",NA,9330,22,8,7,0,0,0.00598864700325075,1,"","","","","","","",""
"protein localization to microtubule organizing center (GO:1905508)",NA,9330,22,8,15,0,0,0.0127943688489299,1,"","","","","","","",""
"cellular protein complex assembly (GO:0043623)",NA,9330,22,8,143,0,0,0.116276746407475,1,"","","","","","","",""
"type B pancreatic cell differentiation (GO:0003309)",NA,9330,22,8,8,0,0,0.00684160107640031,1,"","","","","","","",""
"regulation of fibroblast migration (GO:0010762)",NA,9330,22,8,13,0,0,0.0110967722851903,1,"","","","","","","",""
"very-low-density lipoprotein particle remodeling (GO:0034372)",NA,9330,22,8,8,0,0,0.00684160107640031,1,"","","","","","","",""
"dermatan sulfate metabolic process (GO:0030205)",NA,9330,22,8,12,0,0,0.0102470165578307,1,"","","","","","","",""
"peptidyl-threonine dephosphorylation (GO:0035970)",NA,9330,22,8,15,0,0,0.0127943688489299,1,"","","","","","","",""
"negative regulation of circadian rhythm (GO:0042754)",NA,9330,22,8,8,0,0,0.00684160107640031,1,"","","","","","","",""
"chromosome organization (GO:0051276)",NA,9330,22,8,55,0,0,0.0462150541761137,1,"","","","","","","",""
"regulation of vacuole organization (GO:0044088)",NA,9330,22,8,19,0,0,0.0161819139179614,1,"","","","","","","",""
"negative regulation of smoothened signaling pathway (GO:0045879)",NA,9330,22,8,18,0,0,0.0153359826315622,1,"","","","","","","",""
"negative regulation of endocytosis (GO:0045806)",NA,9330,22,8,27,0,0,0.0229265036808648,1,"","","","","","","",""
"atrial septum morphogenesis (GO:0060413)",NA,9330,22,8,10,0,0,0.00854558815509976,1,"","","","","","","",""
"regulation of anatomical structure morphogenesis (GO:0022603)",NA,9330,22,8,81,0,0,0.0674037493629283,1,"","","","","","","",""
"phosphate ion transmembrane transport (GO:0035435)",NA,9330,22,8,6,0,0,0.00513505202429265,1,"","","","","","","",""
"positive regulation of endothelial cell migration (GO:0010595)",NA,9330,22,8,69,0,0,0.0576760967662918,1,"","","","","","","",""
"spermatogenesis (GO:0007283)",NA,9330,22,8,152,0,0,0.123181549263527,1,"","","","","","","",""
"actomyosin structure organization (GO:0031032)",NA,9330,22,8,70,0,0,0.0584901115839002,1,"","","","","","","",""
"inositol metabolic process (GO:0006020)",NA,9330,22,8,8,0,0,0.00684160107640031,1,"","","","","","","",""
"myotube differentiation (GO:0014902)",NA,9330,22,8,14,0,0,0.0119458895784953,1,"","","","","","","",""
"mRNA processing (GO:0006397)",NA,9330,22,8,282,0,0,0.217783555927725,1,"","","","","","","",""
"L-phenylalanine catabolic process (GO:0006559)",NA,9330,22,8,10,0,0,0.00854558815509976,1,"","","","","","","",""
"positive regulation of chromosome organization (GO:2001252)",NA,9330,22,8,18,0,0,0.0153359826315622,1,"","","","","","","",""
"protein homooligomerization (GO:0051260)",NA,9330,22,8,189,0,0,0.15107453963436,1,"","","","","","","",""
"regulation of actin cytoskeleton reorganization (GO:2000249)",NA,9330,22,8,29,0,0,0.0246063159728976,1,"","","","","","","",""
"regulation of cyclic-nucleotide phosphodiesterase activity (GO:0051342)",NA,9330,22,8,6,0,0,0.00513505202429265,1,"","","","","","","",""
"branching involved in blood vessel morphogenesis (GO:0001569)",NA,9330,22,8,13,0,0,0.0110967722851903,1,"","","","","","","",""
"innate immune response activating cell surface receptor signaling pathway (GO:0002220)",NA,9330,22,8,123,0,0,0.100762159742177,1,"","","","","","","",""
"odontogenesis (GO:0042476)",NA,9330,22,8,40,0,0,0.0338001913850765,1,"","","","","","","",""
"secretory granule organization (GO:0033363)",NA,9330,22,8,8,0,0,0.00684160107640031,1,"","","","","","","",""
"protein sulfation (GO:0006477)",NA,9330,22,8,5,0,0,0.00428081572679273,1,"","","","","","","",""
"positive regulation of macrophage differentiation (GO:0045651)",NA,9330,22,8,7,0,0,0.00598864700325075,1,"","","","","","","",""
"positive regulation of transcription from RNA polymerase I promoter (GO:0045943)",NA,9330,22,8,20,0,0,0.0170272092341096,1,"","","","","","","",""
"macropinocytosis (GO:0044351)",NA,9330,22,8,5,0,0,0.00428081572679273,1,"","","","","","","",""
"regulation of histone H3-K9 methylation (GO:0051570)",NA,9330,22,8,10,0,0,0.00854558815509976,1,"","","","","","","",""
"positive regulation of phosphatidylinositol 3-kinase signaling (GO:0014068)",NA,9330,22,8,52,0,0,0.043743309493622,1,"","","","","","","",""
"negative regulation of defense response to virus (GO:0050687)",NA,9330,22,8,10,0,0,0.00854558815509976,1,"","","","","","","",""
"regulation of striated muscle contraction (GO:0006942)",NA,9330,22,8,28,0,0,0.0237667259715832,1,"","","","","","","",""
"protein import into mitochondrial matrix (GO:0030150)",NA,9330,22,8,18,0,0,0.0153359826315622,1,"","","","","","","",""
"Golgi to endosome transport (GO:0006895)",NA,9330,22,8,19,0,0,0.0161819139179614,1,"","","","","","","",""
"cell migration involved in heart development (GO:0060973)",NA,9330,22,8,7,0,0,0.00598864700325075,1,"","","","","","","",""
"phospholipid transport (GO:0015914)",NA,9330,22,8,57,0,0,0.0478597765276682,1,"","","","","","","",""
"negative regulation of cholesterol storage (GO:0010887)",NA,9330,22,8,5,0,0,0.00428081572679273,1,"","","","","","","",""
"negative regulation of serine-type endopeptidase activity (GO:1900004)",NA,9330,22,8,8,0,0,0.00684160107640031,1,"","","","","","","",""
"protein repair (GO:0030091)",NA,9330,22,8,5,0,0,0.00428081572679273,1,"","","","","","","",""
"positive regulation of skeletal muscle fiber development (GO:0048743)",NA,9330,22,8,5,0,0,0.00428081572679273,1,"","","","","","","",""
"protein localization to non-motile cilium (GO:0097499)",NA,9330,22,8,5,0,0,0.00428081572679273,1,"","","","","","","",""
"glomerular filtration (GO:0003094)",NA,9330,22,8,9,0,0,0.00769391465625335,1,"","","","","","","",""
"regulation of systemic arterial blood pressure (GO:0003073)",NA,9330,22,8,11,0,0,0.00939662198500957,1,"","","","","","","",""
"interleukin-27-mediated signaling pathway (GO:0070106)",NA,9330,22,8,10,0,0,0.00854558815509976,1,"","","","","","","",""
"peptidyl-lysine modification (GO:0018205)",NA,9330,22,8,114,0,0,0.0937031974087865,1,"","","","","","","",""
"cellular response to nitric oxide (GO:0071732)",NA,9330,22,8,7,0,0,0.00598864700325075,1,"","","","","","","",""
"pseudouridine synthesis (GO:0001522)",NA,9330,22,8,14,0,0,0.0119458895784953,1,"","","","","","","",""
"cardiac myofibril assembly (GO:0055003)",NA,9330,22,8,16,0,0,0.0136422105074602,1,"","","","","","","",""
"hindlimb morphogenesis (GO:0035137)",NA,9330,22,8,5,0,0,0.00428081572679273,1,"","","","","","","",""
"smooth muscle tissue development (GO:0048745)",NA,9330,22,8,5,0,0,0.00428081572679273,1,"","","","","","","",""
"nucleoside salvage (GO:0043174)",NA,9330,22,8,13,0,0,0.0110967722851903,1,"","","","","","","",""
"dendritic spine organization (GO:0097061)",NA,9330,22,8,23,0,0,0.0195592834585759,1,"","","","","","","",""
"regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway (GO:1902235)",NA,9330,22,8,19,0,0,0.0161819139179614,1,"","","","","","","",""
"regulation of cyclin-dependent protein kinase activity (GO:1904029)",NA,9330,22,8,34,0,0,0.028794795906706,1,"","","","","","","",""
"regulation of synaptic transmission, dopaminergic (GO:0032225)",NA,9330,22,8,7,0,0,0.00598864700325075,1,"","","","","","","",""
"DNA damage response, signal transduction by p53 class mediator (GO:0030330)",NA,9330,22,8,81,0,0,0.0674037493629283,1,"","","","","","","",""
"regulation of brown fat cell differentiation (GO:0090335)",NA,9330,22,8,7,0,0,0.00598864700325075,1,"","","","","","","",""
"positive regulation of macromolecule biosynthetic process (GO:0010557)",NA,9330,22,8,141,0,0,0.114735900832891,1,"","","","","","","",""
"positive regulation of angiogenesis (GO:0045766)",NA,9330,22,8,102,0,0,0.084215849891724,1,"","","","","","","",""
"regulation of phospholipase C activity (GO:1900274)",NA,9330,22,8,9,0,0,0.00769391465625335,1,"","","","","","","",""
"intracellular sterol transport (GO:0032366)",NA,9330,22,8,6,0,0,0.00513505202429265,1,"","","","","","","",""
"replicative senescence (GO:0090399)",NA,9330,22,8,10,0,0,0.00854558815509976,1,"","","","","","","",""
"endosomal transport (GO:0016197)",NA,9330,22,8,228,1,0.0043859649122807,0.0151071239860143,1,"VPS25","","","","","","",""
"regulation of multicellular organism growth (GO:0040014)",NA,9330,22,8,16,0,0,0.0136422105074602,1,"","","","","","","",""
"positive regulation of cyclin-dependent protein kinase activity (GO:1904031)",NA,9330,22,8,25,0,0,0.02124416059858,1,"","","","","","","",""
"positive regulation of histone H3-K4 methylation (GO:0051571)",NA,9330,22,8,12,0,0,0.0102470165578307,1,"","","","","","","",""
"primary alcohol metabolic process (GO:0034308)",NA,9330,22,8,18,0,0,0.0153359826315622,1,"","","","","","","",""
"regulation of immunoglobulin mediated immune response (GO:0002889)",NA,9330,22,8,5,0,0,0.00428081572679273,1,"","","","","","","",""
"regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway (GO:1903376)",NA,9330,22,8,5,0,0,0.00428081572679273,1,"","","","","","","",""
"hydrogen peroxide metabolic process (GO:0042743)",NA,9330,22,8,19,0,0,0.0161819139179614,1,"","","","","","","",""
"lipoprotein transport (GO:0042953)",NA,9330,22,8,7,0,0,0.00598864700325075,1,"","","","","","","",""
"heterotypic cell-cell adhesion (GO:0034113)",NA,9330,22,8,24,0,0,0.020402038990147,1,"","","","","","","",""
"negative regulation of wound healing (GO:0061045)",NA,9330,22,8,24,0,0,0.020402038990147,1,"","","","","","","",""
"negative regulation of leukocyte activation (GO:0002695)",NA,9330,22,8,10,0,0,0.00854558815509976,1,"","","","","","","",""
"regulation of establishment of protein localization to mitochondrion (GO:1903747)",NA,9330,22,8,7,0,0,0.00598864700325075,1,"","","","","","","",""
"skeletal system development (GO:0001501)",NA,9330,22,8,145,0,0,0.117815244793702,1,"","","","","","","",""
"regulation of TORC1 signaling (GO:1903432)",NA,9330,22,8,27,0,0,0.0229265036808648,1,"","","","","","","",""
"cell morphogenesis involved in differentiation (GO:0000904)",NA,9330,22,8,53,0,0,0.0445678464114976,1,"","","","","","","",""
"regulation of double-strand break repair via nonhomologous end joining (GO:2001032)",NA,9330,22,8,11,0,0,0.00939662198500957,1,"","","","","","","",""
"modulation by symbiont of host cellular process (GO:0044068)",NA,9330,22,8,6,0,0,0.00513505202429265,1,"","","","","","","",""
"adult heart development (GO:0007512)",NA,9330,22,8,8,0,0,0.00684160107640031,1,"","","","","","","",""
"regulation of acyl-CoA biosynthetic process (GO:0050812)",NA,9330,22,8,12,0,0,0.0102470165578307,1,"","","","","","","",""
"regulation of chromatin organization (GO:1902275)",NA,9330,22,8,9,0,0,0.00769391465625335,1,"","","","","","","",""
"response to chemokine (GO:1990868)",NA,9330,22,8,5,0,0,0.00428081572679273,1,"","","","","","","",""
"negative regulation of intracellular steroid hormone receptor signaling pathway (GO:0033144)",NA,9330,22,8,27,0,0,0.0229265036808648,1,"","","","","","","",""
"positive regulation of tissue remodeling (GO:0034105)",NA,9330,22,8,7,0,0,0.00598864700325075,1,"","","","","","","",""
"B cell activation (GO:0042113)",NA,9330,22,8,72,0,0,0.0601162955799488,1,"","","","","","","",""
"high-density lipoprotein particle remodeling (GO:0034375)",NA,9330,22,8,16,0,0,0.0136422105074602,1,"","","","","","","",""
"replication fork protection (GO:0048478)",NA,9330,22,8,6,0,0,0.00513505202429265,1,"","","","","","","",""
"regulation of cellular catabolic process (GO:0031329)",NA,9330,22,8,54,0,0,0.0453917611715178,1,"","","","","","","",""
"regulation of adherens junction organization (GO:1903391)",NA,9330,22,8,17,0,0,0.0144894149648299,1,"","","","","","","",""
"ganglion development (GO:0061548)",NA,9330,22,8,9,0,0,0.00769391465625335,1,"","","","","","","",""
"negative regulation of cellular protein catabolic process (GO:1903363)",NA,9330,22,8,9,0,0,0.00769391465625335,1,"","","","","","","",""
"negative regulation of lymphocyte activation (GO:0051250)",NA,9330,22,8,18,0,0,0.0153359826315622,1,"","","","","","","",""
"alanine transport (GO:0032328)",NA,9330,22,8,8,0,0,0.00684160107640031,1,"","","","","","","",""
"long-chain fatty-acyl-CoA biosynthetic process (GO:0035338)",NA,9330,22,8,17,0,0,0.0144894149648299,1,"","","","","","","",""
"regulation of fibroblast apoptotic process (GO:2000269)",NA,9330,22,8,7,0,0,0.00598864700325075,1,"","","","","","","",""
"regulation of centrosome duplication (GO:0010824)",NA,9330,22,8,24,0,0,0.020402038990147,1,"","","","","","","",""
"dicarboxylic acid transport (GO:0006835)",NA,9330,22,8,28,0,0,0.0237667259715832,1,"","","","","","","",""
"glycogen metabolic process (GO:0005977)",NA,9330,22,8,32,0,0,0.0271212963181692,1,"","","","","","","",""
"regulation of signal transduction by p53 class mediator (GO:1901796)",NA,9330,22,8,137,0,0,0.111647155840426,1,"","","","","","","",""
"regulation of protein oligomerization (GO:0032459)",NA,9330,22,8,22,0,0,0.0187158935948847,1,"","","","","","","",""
"positive regulation of mitochondrial calcium ion concentration (GO:0051561)",NA,9330,22,8,7,0,0,0.00598864700325075,1,"","","","","","","",""
"mast cell activation involved in immune response (GO:0002279)",NA,9330,22,8,7,0,0,0.00598864700325075,1,"","","","","","","",""
"positive regulation of protein polymerization (GO:0032273)",NA,9330,22,8,63,0,0,0.0527790632377211,1,"","","","","","","",""
"positive regulation of cholesterol transport (GO:0032376)",NA,9330,22,8,16,0,0,0.0136422105074602,1,"","","","","","","",""
"regulation of myoblast fusion (GO:1901739)",NA,9330,22,8,11,0,0,0.00939662198500957,1,"","","","","","","",""
"immunological synapse formation (GO:0001771)",NA,9330,22,8,5,0,0,0.00428081572679273,1,"","","","","","","",""
"ribosomal large subunit export from nucleus (GO:0000055)",NA,9330,22,8,7,0,0,0.00598864700325075,1,"","","","","","","",""
"male meiosis I (GO:0007141)",NA,9330,22,8,9,0,0,0.00769391465625335,1,"","","","","","","",""
"tRNA pseudouridine synthesis (GO:0031119)",NA,9330,22,8,6,0,0,0.00513505202429265,1,"","","","","","","",""
"bile acid biosynthetic process (GO:0006699)",NA,9330,22,8,25,0,0,0.02124416059858,1,"","","","","","","",""
"stress-induced premature senescence (GO:0090400)",NA,9330,22,8,7,0,0,0.00598864700325075,1,"","","","","","","",""
"negative regulation of cytokine production involved in inflammatory response (GO:1900016)",NA,9330,22,8,8,0,0,0.00684160107640031,1,"","","","","","","",""
"regulation of myeloid leukocyte mediated immunity (GO:0002886)",NA,9330,22,8,10,0,0,0.00854558815509976,1,"","","","","","","",""
"cellular response to ketone (GO:1901655)",NA,9330,22,8,27,0,0,0.0229265036808648,1,"","","","","","","",""
"nitric oxide biosynthetic process (GO:0006809)",NA,9330,22,8,10,0,0,0.00854558815509976,1,"","","","","","","",""
"regulation of receptor-mediated endocytosis (GO:0048259)",NA,9330,22,8,35,0,0,0.0296306007295059,1,"","","","","","","",""
"regulation of heart rate by cardiac conduction (GO:0086091)",NA,9330,22,8,34,0,0,0.028794795906706,1,"","","","","","","",""
"smooth muscle cell migration (GO:0014909)",NA,9330,22,8,6,0,0,0.00513505202429265,1,"","","","","","","",""
"neuron projection maintenance (GO:1990535)",NA,9330,22,8,5,0,0,0.00428081572679273,1,"","","","","","","",""
"positive regulation of epithelial cell proliferation involved in wound healing (GO:0060054)",NA,9330,22,8,6,0,0,0.00513505202429265,1,"","","","","","","",""
"axonal fasciculation (GO:0007413)",NA,9330,22,8,11,0,0,0.00939662198500957,1,"","","","","","","",""
"regulation of canonical Wnt signaling pathway (GO:0060828)",NA,9330,22,8,212,0,0,0.168019336531675,1,"","","","","","","",""
"negative regulation of phagocytosis (GO:0050765)",NA,9330,22,8,8,0,0,0.00684160107640031,1,"","","","","","","",""
"positive regulation of cell cycle phase transition (GO:1901989)",NA,9330,22,8,10,0,0,0.00854558815509976,1,"","","","","","","",""
"positive regulation of cellular component movement (GO:0051272)",NA,9330,22,8,20,0,0,0.0170272092341096,1,"","","","","","","",""
"negative regulation of cholesterol transport (GO:0032375)",NA,9330,22,8,9,0,0,0.00769391465625335,1,"","","","","","","",""
"thyroid gland development (GO:0030878)",NA,9330,22,8,9,0,0,0.00769391465625335,1,"","","","","","","",""
"modulation of chemical synaptic transmission (GO:0050804)",NA,9330,22,8,81,0,0,0.0674037493629283,1,"","","","","","","",""
"dorsal/ventral axis specification (GO:0009950)",NA,9330,22,8,9,0,0,0.00769391465625335,1,"","","","","","","",""
