Gene	RNA	Protein
TPM4	7.786090808	32.42694416
SELENBP1	6.553139714	32.41983471
HNRNPD	6.756483008	32.41733156
PFN1	7.847286474	32.41566959
S100A6	9.615127675	32.37895173
TAGLN2	7.982423029	32.291493
IDH2	6.423522563	32.27681322
NCL	8.566211939	32.27562492
PPL	8.310842139	32.24428927
AKR1A1	6.50660073	32.21929559
CCT2	7.040234995	32.21556074
LDHA	7.49233104	32.1902459
CAPN2	9.362649875	32.18962975
BASP1	6.61663696	32.15131672
RPSA	7.175057876	32.13658708
FLNB	8.381948796	32.12488811
UGDH	6.304691319	32.10801718
MACROH2A1	7.524269193	32.10511047
PEBP1	6.668457461	32.09142787
MYOF	8.791565805	32.07810195
HADHA	7.164545391	32.03991431
ATP5IF1	6.767718748	32.03633379
CNDP2	7.480026015	32.01128329
RNH1	6.667166602	32.01112316
RUVBL1	6.398190876	32.00361185
GLUD1	6.252440285	31.99713736
CCT3	7.468295815	31.99524174
SLC9A3R1	8.092688013	31.99346451
SAMHD1	7.893059463	31.99329572
GSTA1	6.644189719	31.99232575
ARHGDIA	6.747306704	31.98986196
NANS	5.953954611	31.98514903
XRCC6	7.520770448	31.9693517
XRCC5	8.023178435	31.95551991
PCBP1	7.203683868	31.93681854
HNRNPF	7.981575803	31.92550789
CCT5	7.423897707	31.91750144
SLPI	10.12643644	31.90951109
ACTN1	7.082495112	31.89155668
ACTR3	7.199279622	31.86042657
PTBP1	7.36668522	31.8599569
CMPK1	7.404252951	31.8452912
RUVBL2	6.938439933	31.83571271
MDH1	6.650975563	31.8140483
PDCD6IP	7.62020333	31.81377887
SERPINB1	6.793054746	31.80564945
ATP2A2	8.511551086	31.79429321
PDIA4	6.956551794	31.7901511
IDH1	6.77526589	31.76807116
CSTB	7.998115087	31.74625073
PTMA	8.468631364	31.7287579
PRDX3	6.416411076	31.72856747
LDHB	8.148811019	31.72442808
NME2	6.86370972	31.71347508
STIP1	6.779533822	31.70747465
GANAB	7.672459229	31.70723187
HSPA9	7.736528899	31.70603862
CP	7.967893758	31.68684795
LGALS3	8.500110584	31.68318201
RACK1	9.156486549	31.67615455
CLIC6	7.154747413	31.67486256
CES1	5.123445172	31.67176263
PDIA6	7.235188216	31.64703952
CAPNS1	8.203311373	31.62167309
EIF5A	6.950515105	31.62123948
SERBP1	7.453904878	31.61891233
CALM3	7.174381379	31.61724555
TCP1	6.985126106	31.61691033
HNRNPL	6.54866715	31.6097814
MUC5B	6.729540735	31.59710417
UQCRC1	6.79463394	31.59498086
PRDX2	6.184256787	31.58462247
VDAC1	6.324176331	31.58121237
CAP1	7.675420157	31.57796601
MYL6	8.913503618	31.57497141
COMT	6.199441289	31.573249
JUP	8.614228988	31.56794029
RPS12	7.975948267	31.56603805
ANXA4	6.927577475	31.56389304
TKT	7.656024188	31.56145353
S100A9	8.037886787	31.55938078
HSPH1	8.117573007	31.55878617
HMGB1	5.704794296	31.55337136
YWHAG	6.876380289	31.54554266
PPP2R1A	7.160284848	31.54129656
PLS3	7.167747805	31.53754052
POR	7.566875181	31.53535008
SQOR	5.870775027	31.50791022
CAPZA1	7.084800954	31.50122055
ANXA11	8.002068917	31.49706094
ILF3	7.64056811	31.49223256
CCT8	6.915912888	31.49096701
PTGES3	7.450199974	31.48486947
EPHX1	7.520461033	31.47209348
CTNND1	8.682679791	31.46672222
FLNA	8.030809956	31.46022625
CBR1	5.698006759	31.45733352
ADH5	6.324857566	31.4393129
EIF4A1	8.420400362	31.43309959
AKR1C3	6.982749855	31.38882978
HNRNPH1	7.831164238	31.38668465
TACSTD2	9.433255187	31.381815
CTTN	7.705184256	31.36432129
PLIN3	6.084942573	31.35387069
AGR3	5.456609589	31.35052929
RAN	7.022352252	31.34193464
YWHAB	7.582063859	31.34180469
EPPK1	6.229840877	31.34163021
UQCRC2	6.872292501	31.34026741
TUBB	7.839250429	31.33383228
DDX39B	6.897964329	31.32022118
HNRNPM	7.029388351	31.30624929
CTNNB1	8.346178983	31.29843368
PPA1	5.829157045	31.29321704
CCT6A	7.241021193	31.29119118
SFPQ	7.695663502	31.2897072
KRT18	7.665124222	31.27549859
MUC4	9.730687211	31.2603568
H2AC6	4.388971249	31.25676567
EPRS1	6.869566907	31.25549401
CANX	8.678668741	31.24850077
KTN1	8.126266665	31.2457477
NUCB2	7.330755689	31.22179083
PPIB	7.160418566	31.21910363
RPN2	7.304349491	31.21031441
RPS3A	7.705427694	31.20894194
YWHAQ	7.188372491	31.20587047
MUC16	9.975747441	31.19182779
CTSC	7.837204452	31.1820205
HADHB	6.654896814	31.17617151
RPS3	8.646183132	31.16844354
LTA4H	6.19713938	31.15830098
TPI1	7.22267775	31.15544937
SSB	6.805431032	31.15532328
TRIM28	6.928511822	31.14175183
VCL	6.929648622	31.12663577
RPL12	6.592594139	31.11906773
UGP2	6.854590125	31.10881549
ST13	6.321723209	31.08367981
PROM1	7.552108652	31.0821656
CCT4	6.801743788	31.07516709
HSPA4	7.278518151	31.07474001
CCT7	7.273078856	31.06949714
PYGB	6.724614721	31.06902992
RTCB	6.014247627	31.06368873
CAPG	6.060023681	31.05140899
GNB2	6.881754742	31.0310854
RPS7	6.486827483	31.02661013
NPEPPS	6.8420063	31.0088082
FH	5.304758987	30.99954108
EEF1G	8.900030511	30.99869944
MUC1	8.344137199	30.98523926
NQO1	7.538299381	30.97871217
RPN1	7.425702837	30.97744569
RPL5	8.408387231	30.97463797
HADH	5.324909558	30.97333067
DDX1	6.414247652	30.9608264
APEX1	6.49930421	30.94104725
ECHS1	6.108248952	30.94003696
DHX9	7.389136453	30.93813242
TST	5.042316835	30.91860621
SYNCRIP	7.03081059	30.91639271
TPM3	7.232673213	30.91599778
RHOA	8.116373255	30.91220271
CAND1	6.815848786	30.90773063
RNPEP	6.071978899	30.90698566
COPB1	7.074620999	30.90548936
RPL10A	8.32682403	30.89514186
ARPC1B	6.72649464	30.89365189
KPNB1	7.453540372	30.88641938
RPL10	8.564423325	30.88632607
PA2G4	6.222008505	30.87946685
ANXA3	5.790296549	30.85218926
CAPZB	6.794341227	30.84963324
ATIC	5.355287209	30.84362711
RPL3	9.340394241	30.8394655
RPLP2	7.880858547	30.8385659
GNAI2	6.925578359	30.83677022
MTPN	6.643019385	30.80868296
ACADVL	8.00074029	30.80406723
HDGF	8.012997199	30.80371442
TMSB4X	8.120192584	30.80019828
MATR3	7.917458387	30.79465153
RPS13	7.562874081	30.79342093
CYB5A	5.897777506	30.79125763
ALDH9A1	6.078182941	30.7876128
RPS20	8.084893871	30.78247111
CKAP4	6.413137438	30.77621568
ARF3	7.417248491	30.77565735
PRKDC	7.240315431	30.7751291
RRBP1	7.609217572	30.77485138
LZTFL1	6.369182626	30.77171778
HNRNPC	7.839524148	30.77014509
PSME1	6.383653682	30.76508357
KIF5B	8.038527883	30.73010965
RSPH4A	6.73651038	30.72616441
RPLP0	8.182447856	30.72138663
CIB1	7.064490813	30.71224882
ASS1	6.952927666	30.70741839
CAPN1	8.158774602	30.7069687
RPS4X	9.073197341	30.70456231
RPL4	9.525846982	30.68691436
GPX1	7.314309228	30.68330613
DYNLL1	8.090090807	30.67299248
DLD	6.317587226	30.65631436
RPL7	6.382801197	30.64973409
SET	7.797098142	30.64660522
AHCY	6.156763741	30.63669425
NONO	7.646316425	30.63123835
ANP32A	5.766399909	30.62552908
S100P	6.317330823	30.61572001
MSN	6.220116617	30.61168277
AK1	5.453940206	30.60334662
RPL17	5.956103929	30.59448204
AKR1B10	4.78103256	30.58510251
FDXR	5.032857004	30.58458007
LAP3	6.643654894	30.56599255
MAOA	6.658273923	30.56284274
IMMT	5.883980799	30.56275919
UBE2L3	6.218964359	30.53746086
WARS1	6.870073281	30.53719401
PRKCSH	6.726723495	30.53544463
SDHA	6.48102183	30.52714847
ALDH2	6.318136619	30.5147603
ALCAM	9.202483171	30.50530809
PPA2	5.445273448	30.4961671
ANXA8L1	7.455064626	30.49341518
PGLS	5.217544221	30.48917676
GNB1	7.75277946	30.4796873
MAP4	7.076587499	30.46466012
YWHAH	6.34540862	30.45201039
LMNB1	3.517140421	30.44264321
LGALS3BP	8.345517429	30.44157308
DDX17	8.766843278	30.44087175
SEPTIN7	6.634401956	30.43249205
TLN1	6.909985814	30.42701189
ALDOC	1.92276559	30.42139004
BCAP31	6.676331759	30.41499189
SERPINB6	6.562261274	30.41474449
ACAT1	4.815286471	30.40580286
MYL12A	7.604866225	30.40571941
PSMD1	6.456131776	30.39937031
ATP5PB	6.556339034	30.39250445
ETFA	5.580757207	30.38152307
VDAC2	5.53346287	30.37404245
NIBAN2	7.937289253	30.36525415
WFDC2	8.25640132	30.36421261
COPA	7.289190148	30.35468155
CDC42	7.867088898	30.35064351
RPS17	8.253945597	30.33983364
ALDH7A1	5.151488906	30.32998568
PHB	5.916010412	30.32419395
ESD	5.375679541	30.31951661
ERP29	6.564947239	30.31927326
HNRNPUL1	7.595115991	30.31266761
KHSRP	6.78659717	30.30863526
SEPTIN2	8.287095865	30.29956119
HSD17B10	4.615233432	30.29894638
LMAN1	6.788529725	30.29076359
PLS1	6.273138784	30.28874874
QARS1	7.276825558	30.27336772
CLU	7.275620659	30.27198075
RPL8	9.155904347	30.26591295
GDI1	6.343806277	30.26318423
DECR1	5.378147725	30.25259691
FCGBP	6.089572978	30.25170039
EIF2S3	6.400238364	30.249661
RPL6	7.586179709	30.24657858
NARS1	7.433000754	30.24350647
DDAH1	5.343294945	30.24338093
GPI	6.747038869	30.23081701
MYH10	6.167742979	30.22253438
OGDH	6.705828514	30.22179792
SND1	6.371571662	30.21794769
VAPA	6.929765104	30.21364552
RAB1A	6.849079782	30.20933586
ACTR2	7.436318266	30.20500458
PRPF19	6.001271193	30.19926132
ILF2	6.720066383	30.19214478
SF3B2	7.488569009	30.19177153
HYOU1	6.659190553	30.19154989
DSTN	7.947041236	30.18183307
PPP1CB	7.910117042	30.17704012
TXNL1	5.703638067	30.17492597
DSP	9.37935518	30.17477053
GATD3A	5.190591721	30.17357177
ATP5PD	5.552213541	30.16867212
UBE2N	5.767364834	30.16713486
CLINT1	7.566080604	30.15804307
PSMD2	6.960505466	30.15371599
CYB5R3	6.955427901	30.14914886
ATP6V1A	6.245260834	30.14787593
ABRACL	4.520889638	30.13911897
USP5	5.830452369	30.13248289
BLVRB	4.750310395	30.12436635
TF	1.668914282	30.12101322
RPS8	8.475914683	30.11972636
MGST1	7.23616973	30.10838813
PSMC3	6.340580173	30.08736708
ECH1	6.234892196	30.08496586
PSME2	5.429804089	30.08007135
COX5A	5.860207206	30.07163001
SORD	6.254168327	30.06305892
RPLP1	7.69551349	30.0601363
PABPC1	9.101487942	30.04938087
COPG1	6.866679725	30.04757715
LRPPRC	6.489890723	30.04452463
RAB14	6.635175843	30.04225333
RCC2	7.034993084	30.02995415
AK2	6.329791708	30.02016606
NDUFS1	6.56985053	30.00570441
AIMP1	5.423388319	29.99856017
RPS14	8.13882451	29.9967842
PSMC4	5.86261076	29.9951244
SEPTIN9	7.811505739	29.99070724
NAP1L4	6.848360688	29.98703272
S100A8	5.051247005	29.98341692
CFB	7.907580058	29.98070538
ACAT2	4.984710395	29.97565324
DPP3	5.241708004	29.97511758
EPS8L2	7.329192044	29.97455191
PHGDH	4.817330114	29.9708556
COPB2	7.590837394	29.9695477
RBBP4	6.409253644	29.96396306
GCLC	6.878281095	29.96299915
GRHPR	5.189782456	29.96278545
FDPS	6.476764216	29.95982937
HK1	7.218212553	29.95862294
PGM1	4.910516765	29.9560201
SH3BGRL3	6.188954341	29.93123853
DNAJA1	8.030542515	29.92754958
HNRNPUL2	7.204914489	29.91830314
U2AF2	6.915827211	29.91542858
RPS15A	6.687429142	29.91452067
NUDC	7.159425002	29.91344112
OTUB1	6.134089918	29.91147282
GSTK1	6.427082319	29.91075785
ARPC2	7.891798701	29.90799549
CYC1	5.590731067	29.90523758
AKR7A2	5.315792867	29.9008588
HNRNPR	6.900366796	29.8917054
PDXK	6.897757761	29.89130513
ANXA7	6.825562096	29.89007177
HSD17B4	6.744160012	29.88950077
KHDRBS1	6.619846858	29.88574065
ALYREF	4.520743623	29.88180616
PFKL	6.005273648	29.87541175
SF3B1	8.471561905	29.87525586
SPRR1B	5.206265508	29.87470823
ARPC3	6.730004998	29.8676781
DYNC1I2	5.926722558	29.86500839
CS	6.237975238	29.86133963
SRSF1	7.208223721	29.86102677
DYNLRB1	5.921962664	29.85957946
PSMC5	6.54465275	29.85704917
PGM2	5.2536597	29.85473118
CACYBP	4.974595077	29.85200264
MYO6	6.694443071	29.84679818
ETHE1	4.554962067	29.84135931
DCTN2	6.107815385	29.83913566
SCP2	6.786769392	29.83901651
TTLL12	6.0440237	29.83574481
TKFC	4.898183541	29.83154449
RPL13	8.679239492	29.82806228
FKBP4	6.009307575	29.82171783
ERH	5.765914929	29.80847587
GLOD4	5.462983188	29.80731357
TES	6.072918456	29.80486592
IGFBP2	7.851547072	29.80176855
VPS35	7.158316311	29.79631455
EIF3A	8.225700872	29.78352132
PAFAH1B2	6.107231633	29.78060902
SPATA18	7.208047	29.77953189
PSMC2	5.965328747	29.77853108
TECR	5.928203473	29.76152626
RPS19	8.364911587	29.75973256
TXNDC17	5.021364076	29.75697276
NACA	8.045688452	29.74449831
SERPINH1	5.380832946	29.74264937
YBX1	7.814245206	29.73868246
BAIAP2	6.818628388	29.72909387
TNKS1BP1	7.590588117	29.72479997
IFI16	7.785585908	29.72342914
RCN1	5.757550216	29.71878785
APRT	5.233883472	29.71771867
RDX	6.123029963	29.71529822
EFTUD2	6.061946007	29.71423192
UQCRFS1	5.355898163	29.7132655
DDX3X	8.510909582	29.71152103
HDLBP	9.113958286	29.70455616
ACTR1A	6.218835153	29.7011418
EML2	5.500734553	29.70041563
MARS1	6.20431917	29.68833469
CALU	6.3017038	29.68499027
RARS1	5.946005048	29.67675613
PRKAR2A	5.974546414	29.67453323
SLC25A6	8.162481183	29.67365184
IARS2	6.660969918	29.67003505
XPNPEP1	5.793054025	29.66966289
SERPINB4	7.570540233	29.66717551
CBX3	6.176587667	29.65875967
AP1B1	6.565073039	29.65217459
SCARB2	7.294645561	29.65074076
RBMX	6.587823122	29.64692316
PSMC6	5.207140842	29.64654459
SKP1	7.449297283	29.64143111
EIF4A2	8.553809028	29.63207295
LASP1	7.642354142	29.63204133
HNRNPDL	7.243180429	29.63104085
ETFB	4.948851009	29.62976186
AHSA1	6.802529901	29.62923987
NAGK	5.226917218	29.62399587
STOML2	5.587672039	29.6185814
TWF1	6.317971917	29.60992362
RANBP1	5.237929448	29.60634446
MTHFD1	5.121086659	29.60025442
KARS1	6.611047228	29.59387636
AIFM1	4.865599741	29.59324048
EIF6	6.403475668	29.59145276
EIF4G1	8.431284123	29.57921243
USO1	6.57002248	29.57063549
MGST3	5.301602139	29.56580218
RPS15	7.030814192	29.56232294
GSTO1	4.966435401	29.5602584
TPR	7.539897191	29.5540934
ATP5PF	5.605661345	29.55325913
SARS1	6.559507942	29.55316763
OAT	7.418171654	29.54932151
PPP2CA	6.857385782	29.5403337
RSPH1	7.576585338	29.53895515
CDH1	8.415133536	29.53098484
FKBP3	5.253602231	29.52794172
IARS1	6.695926304	29.52499575
CAPZA2	6.182697551	29.50763776
ATP1B1	8.002280097	29.49863092
G6PD	5.276044276	29.49324533
MANF	4.756936221	29.4905653
EIF3C	8.620897659	29.49003203
PREP	5.322024168	29.48571014
ARL3	5.866199845	29.48055165
GPD2	6.043764349	29.47804136
FUBP1	6.618934746	29.47536854
SF3B3	6.810794248	29.4719363
ADH7	6.757103393	29.47174426
LRRC59	6.351506204	29.46682497
EEF1B2	6.514291142	29.45720881
DDB1	7.697150793	29.44950659
RAP1B	6.383091786	29.44521734
SRI	6.527903351	29.44182329
MAPK1	6.709636703	29.42978559
AGL	5.614791173	29.42972864
STRAP	6.075549361	29.42913612
ERO1A	6.15626075	29.42066574
MTCH2	5.982430222	29.41980411
CSRP1	5.644556582	29.41358124
IDH3A	5.512812365	29.40411909
CSNK2A1	6.525491098	29.40360076
GPX4	7.484385969	29.40135139
PAFAH1B3	4.197362344	29.39641869
MTAP	4.528196696	29.39424504
DSG2	7.658620742	29.38976891
ADH1C	5.541842051	29.38481137
AHNAK2	8.728470511	29.38083911
CARHSP1	5.312998028	29.37925551
HSPA4L	5.517686216	29.37706358
SEC31A	7.186080245	29.37670451
UGGT1	6.055960259	29.37250562
ADSS2	6.483553391	29.36687905
LIMA1	7.322722139	29.36643393
NAMPT	6.316860613	29.36576726
RAB2A	6.238562696	29.35693804
LARS1	6.697548062	29.35585008
RPS27A	7.359623972	29.35521983
ACLY	6.719733709	29.35112329
CCAR2	6.535483227	29.35111497
VILL	6.893035087	29.3471949
EIF1	7.504497298	29.3375154
NEDD8	5.678743278	29.3354677
BANF1	5.798169076	29.32300993
GMPPB	4.98964332	29.31970655
APEH	5.976538587	29.31798091
RAB7A	7.449433944	29.31040547
PAFAH1B1	7.226130713	29.3067581
ARCN1	6.8860026	29.29254366
SYNE2	8.214410763	29.28965565
ITGB1	8.463085808	29.28594371
CORO1B	6.469853242	29.28550952
HNRNPH2	6.463580003	29.28515465
FSCN1	5.13869238	29.28443053
RBBP7	6.096320153	29.28321242
CFH	7.35645436	29.28276947
DDX5	9.561878876	29.26925124
FBL	5.522000428	29.26542699
PYGL	6.106123442	29.26281043
PRMT1	6.208869439	29.25629483
ALDH18A1	5.662209424	29.25089433
ELAVL1	5.631697334	29.24492838
TMOD3	6.658501893	29.2297126
MYO1D	6.934079138	29.22939152
EIF3L	7.655624657	29.21667487
CMAS	5.43241178	29.21357968
RSPH9	5.202261856	29.21241345
VDAC3	6.542286405	29.21207134
TPP2	5.823830916	29.21179802
HNRNPA0	6.565261309	29.20721808
SCCPDH	5.591266332	29.20704232
NIBAN1	6.300716582	29.20269607
AP2A1	6.037680235	29.19164545
SLC27A2	5.981413603	29.18911781
PSMD12	5.472282139	29.1866205
CPNE3	6.684246519	29.18516607
RTRAF	6.070242061	29.17757338
AKR1B1	4.450443513	29.17605421
G3BP1	7.160847966	29.17233507
RPS10	5.393625409	29.17213913
ERLIN2	6.17522916	29.16920438
CDC37	6.843687756	29.16426117
XPO1	7.272356189	29.16403501
RCC1	5.385268548	29.15113252
LPP	6.205668243	29.1479295
CHORDC1	5.000212819	29.14471715
TXNDC5	6.594145141	29.14082341
NAPA	5.901192819	29.13814261
NAPRT	4.876356498	29.13536717
SF3A1	6.376952638	29.12280992
TRIM25	6.518290413	29.11832312
EVPL	6.789303201	29.11514168
TOMM70	5.911245855	29.11054057
HIBADH	5.20778831	29.10797301
HSDL2	5.293128827	29.10750942
SEC22B	5.159079816	29.10542475
PAK2	6.397997809	29.09814367
CST3	6.589168706	29.09651034
PSMD14	5.525075437	29.09166111
MPST	4.910433787	29.08890947
PHPT1	5.094864205	29.08576199
PSMD3	5.89264502	29.08565755
DYNC1LI2	7.113384914	29.08485228
DBNL	6.566662452	29.07580445
PFKP	5.614495595	29.07022768
STAT3	7.706880193	29.06389101
MAPRE1	5.958193952	29.06222239
YARS1	5.828825394	29.05452914
LMNB2	5.790867117	29.04830826
IMPDH2	6.448494938	29.04493834
PIN1	4.916090693	29.04352247
PPP2R2A	5.977610448	29.03547316
BDH2	4.853482693	29.03533195
PSMD7	5.999980248	29.03023832
GET3	5.417897674	29.02784491
ARHGAP18	6.81960371	29.02168635
MYO1B	7.250308611	29.01877654
RTN4	7.054384795	29.01152653
ISOC2	4.549201118	29.01069866
NDUFV1	6.116857188	29.0099381
ABHD11	4.761004858	29.00364015
GSPT1	7.070966336	29.00291052
EIF4A3	5.486952514	29.00049001
ERP44	5.357575599	28.99944901
NIT2	4.73223375	28.99723375
PTPA	6.678551433	28.99015125
DNM2	7.032486226	28.98326602
RPS21	6.729821066	28.983014
GBP6	5.392710504	28.98211634
GLG1	6.838612193	28.98065035
MCCC2	5.990986638	28.97853559
GART	5.787249818	28.97432071
CRYZ	3.783433629	28.97230291
UCHL3	4.542086091	28.9701112
COPE	6.020333151	28.96558631
ATP5F1C	6.51880686	28.96389904
PSMD4	6.173276134	28.96294649
SUCLG2	5.37344914	28.95481037
TARDBP	6.876810225	28.95445454
GMPR2	5.726636983	28.94671021
AARS1	6.41948539	28.94188447
SPAG6	6.793396437	28.93869793
GNA11	6.545555139	28.93616368
UQCRB	6.654695786	28.9343667
DDAH2	4.716506277	28.93290372
RAB6A	6.66689101	28.93269516
UBA6	6.100141493	28.92688425
TYMP	6.533854108	28.92462528
SHMT2	5.313742363	28.92347928
ACSL3	7.346577087	28.92056099
HARS1	5.663694362	28.91653058
PPOX	5.297519399	28.91022353
EHD1	4.965235363	28.90157295
EPS8L1	6.427474693	28.90086626
RPS16	7.732861116	28.90062856
UBA2	6.08856158	28.89443249
BUB3	5.633720311	28.89299439
SLK	7.565911059	28.89175441
HIBCH	4.572311924	28.8890589
PAICS	5.474599573	28.87673693
IGFBP7	6.904496438	28.87394504
CHMP5	6.855196204	28.87156532
PDHA1	5.522409177	28.8677326
TP53BP1	6.950200988	28.86745433
FUS	6.671986269	28.86085141
GM2A	6.998337395	28.85403723
CROCC	6.810389276	28.85084219
LONP1	5.642611089	28.84472033
ALDH3B1	7.342212683	28.84361999
ARHGAP1	5.869819011	28.83867984
RO60	4.776565626	28.83366982
LRRC47	5.07242889	28.83172364
TJP2	7.242215208	28.82732164
HSD17B12	5.89145882	28.82695631
EIF4H	7.532793287	28.82346644
EPB41L1	6.837249894	28.81173409
NDUFA5	5.482981103	28.80701746
ABI1	6.568863654	28.80063955
PDHB	5.992184782	28.78933246
SNX6	6.005382903	28.78696249
GCN1	6.785187248	28.78691655
PSAP	9.003469972	28.77670638
SRSF2	6.629290823	28.77461411
SUGT1	5.30502882	28.77270591
SLC25A5	7.193945295	28.7652137
ALDH4A1	4.997499008	28.75899683
FUCA1	5.79454348	28.75731629
ATOX1	3.785553022	28.75289286
PSMA1	6.037073085	28.74783023
CYFIP1	6.751961156	28.74753018
SEPTIN11	6.230315665	28.74732992
DHRS9	8.179762942	28.74529997
UBA3	5.823454579	28.7420252
FLOT2	6.814433603	28.74003011
VPS4B	6.345783229	28.73735061
LYPLA1	5.177715816	28.73618539
NDUFA8	5.080437864	28.73534081
SEC13	5.644772719	28.73523194
GAA	5.490660263	28.72940714
GALE	4.992330007	28.69922831
SDHB	5.589452853	28.69704858
PYCARD	4.298519816	28.69632863
BLVRA	4.682111376	28.6933348
TUBA4A	5.218405376	28.69327802
SDCBP	6.438264747	28.69286173
PSMD13	5.905889715	28.69033581
SCFD1	5.517726736	28.68982125
EIF4B	8.04227198	28.68896886
TM9SF2	8.014659138	28.68801467
DLG1	6.810628027	28.6855953
BPNT1	4.727044516	28.68020085
AHCYL1	7.039218807	28.6786126
ESYT1	6.009116718	28.67354248
DCTN1	7.11031599	28.67064466
PSMD11	5.940524368	28.66994732
NPC2	6.179219179	28.66028602
STOM	7.262516543	28.64189273
ACADM	5.424089512	28.6407215
CSE1L	6.046109353	28.63579737
IMPA1	4.604587024	28.63142535
UPF1	7.194628613	28.62745614
GLRX	5.35686719	28.61775732
EEA1	5.716180353	28.61535808
NOP56	5.965053535	28.61425979
SAFB	6.614270025	28.61277456
LETM1	4.942782295	28.61015797
ARPC1A	6.548280795	28.60039964
CNN2	6.972086977	28.58536552
NSF	5.606537461	28.58534201
UBAP2L	7.107100576	28.58462786
LRBA	7.257974196	28.58324178
NCKAP1	7.371308674	28.57423102
GARS1	5.705867695	28.56851265
CLIC4	6.202333269	28.56374431
BSG	7.760777869	28.5546537
HAGH	5.005805588	28.55141281
COASY	5.770644084	28.54675404
NNT	5.514969376	28.52239443
PFN2	7.035028121	28.51537075
CNPY2	5.292087173	28.50328658
TALDO1	7.03836872	28.4963464
KLK11	6.176094215	28.48727864
COX4I1	7.349660303	28.48441518
CNP	5.980911176	28.47676673
CAMK2D	5.162608222	28.47588237
HMGCL	4.858484746	28.46069891
OLA1	5.449410561	28.45818544
TMC4	6.543535465	28.45635669
IL18	5.233059933	28.45295672
THRAP3	7.287263016	28.44629538
HEBP2	6.544261327	28.44562201
CRIP2	5.374614889	28.44233798
TRAP1	5.620749944	28.43757619
BCAS1	6.430252282	28.43686355
DNAJB1	7.425571193	28.43523256
LMO7	7.709882824	28.43134291
ERICH3	6.605585427	28.4300365
