Gene	RNA	Protein
SELENBP1	6.757575969	32.41204642
LGALS7	2.528765552	32.40673831
PARK7	6.826380707	32.39526389
CAST	8.708787988	32.35586844
GDI2	7.516743356	32.35275889
TAGLN2	8.232734404	32.3220207
PFN1	7.643184512	32.29766051
PRDX6	7.017648699	32.21619349
PDLIM1	7.964185262	32.1971507
CAPN2	9.42695534	32.191429
SAMHD1	7.821217234	32.19128838
PPL	8.08806671	32.18756583
LDHA	7.518103388	32.18716328
CCT2	7.485512152	32.17691615
XRCC5	8.357121674	32.17633321
FLNB	8.154826825	32.1697485
AKR1A1	6.69885004	32.16670175
HNRNPD	6.497065215	32.15809255
NCL	8.442814353	32.14493695
CLIC1	8.267534354	32.13618163
MACROH2A1	7.462769657	32.11290227
HINT1	7.364122538	32.11160726
UGDH	6.373373992	32.11054434
XRCC6	7.818885018	32.1054914
TPM4	7.653446915	32.08472169
CNDP2	7.516177495	32.06493905
RPSA	7.4775085	32.05905004
RUVBL1	7.059259173	32.0494619
IDH2	6.66522723	32.02778307
MYOF	8.676718962	32.02234176
PEBP1	6.807468422	31.98781443
SCGB1A1	10.29060593	31.98773003
C3	8.817740818	31.96071569
MDH1	7.127018388	31.9601419
CCT3	7.774318715	31.93642412
RNH1	6.686968545	31.90362315
PTBP1	7.104483419	31.88195133
GLUD1	6.306707264	31.86429196
CCT5	7.738644658	31.85213839
GANAB	7.662719871	31.84549415
GSTA1	7.098613935	31.84030855
NME2	6.908854147	31.8376947
ADH7	7.199718544	31.8322061
HADHA	7.411578063	31.83162437
HNRNPF	8.19806595	31.79699523
RACK1	9.304517734	31.79293611
ATP2A2	8.425227693	31.78805455
ILF3	7.210246852	31.76404697
CALM3	7.158992753	31.75031713
CSTB	7.943500283	31.74925161
SLPI	10.50058018	31.74816969
JUP	8.190824551	31.74102882
ARHGDIA	6.376191665	31.73980832
RUVBL2	7.333431151	31.7295051
LDHB	8.594185814	31.7276747
ACTR3	7.269906845	31.72497005
HNRNPL	6.302460991	31.72302313
EPPK1	6.35507762	31.70815794
YWHAG	6.79869574	31.70448226
S100A9	8.219698182	31.70336814
STIP1	6.891214713	31.70062068
PDIA4	7.008670578	31.69656206
IDH1	6.982739309	31.6781406
SFPQ	7.428754643	31.67241751
NANS	6.34514894	31.6621317
ACTN1	7.044406871	31.65549533
SERPINB1	6.971323318	31.652022
HSPA9	7.928225916	31.64717331
EIF5A	6.7321103	31.64227275
PCBP1	7.038784126	31.62436256
PPP2R1A	7.133717893	31.61743688
CAPNS1	8.266859325	31.60459675
SERBP1	7.545846424	31.58328411
ANXA4	7.288193341	31.58057119
PDIA6	7.135863473	31.5758877
CAP1	7.77853197	31.57095154
CES1	5.823880289	31.55656182
UQCRC1	6.882100501	31.55134114
PDCD6IP	7.917478227	31.52091832
ATP5IF1	7.2422952	31.50715912
TKT	7.343273372	31.50439638
CLIC6	7.183788712	31.49793014
CMPK1	7.547371673	31.49585973
HNRNPM	6.8306952	31.48249402
MYL6	9.346832117	31.46236095
POR	7.541225463	31.46142584
HSPH1	8.205884161	31.46142242
COMT	6.159619937	31.45699943
CCT8	7.268496687	31.45600402
UQCRC2	7.126856866	31.45191848
PRDX3	6.94775523	31.44346669
KRT18	7.655955879	31.44068885
DDX39B	6.866117256	31.42220851
CTNND1	8.662902336	31.40199884
FLNA	7.598426028	31.39609948
ANXA11	7.852020504	31.38905991
HNRNPH1	7.694114721	31.3780385
VDAC1	6.378577868	31.37685749
RPN2	7.455872349	31.37179984
SSB	7.156383378	31.36737179
CANX	8.813755765	31.36692571
RPLP2	7.892317142	31.36683717
CBR1	5.739522829	31.36594593
PRKDC	7.272022559	31.3567785
EIF4A1	8.52393261	31.35502939
PLS3	7.461980242	31.34718683
PLIN3	6.163010336	31.33077494
KTN1	8.443346954	31.32890485
CAPZA1	7.245621082	31.30697363
CP	8.200094108	31.299962
ARF3	7.516079072	31.26817651
PTGES3	7.449621385	31.25526342
CTNNB1	8.594913415	31.2548727
HSPA4	7.144474337	31.25195658
TCP1	6.925246057	31.24987464
PA2G4	6.19078533	31.24917546
EPRS1	7.275812803	31.2480202
HNRNPC	8.036065189	31.24463602
AKR1C3	7.321137554	31.24399266
RAN	7.23611725	31.24094895
RHOA	8.127319853	31.22993683
ADH5	6.679100298	31.22441955
CAND1	6.921437362	31.22323364
PPA1	5.819460434	31.20293833
SQOR	5.910025052	31.19271839
DHX9	7.625076515	31.18677956
CTTN	7.67108759	31.16808802
CCT6A	7.491404377	31.16787853
RPS12	8.142472055	31.1548512
TPI1	7.328979219	31.14496698
HDGF	8.001243346	31.13865924
PRDX2	5.9990648	31.13174267
YWHAB	7.480478208	31.1246172
RPS3	8.709725838	31.1227446
MUC1	7.934871751	31.12208578
PPIB	7.193262335	31.12164021
CCT7	7.544923545	31.11952935
RPS7	6.832954576	31.10505676
CAPG	6.088973244	31.10469506
PYGB	6.803920491	31.09953852
RPL7	6.718475039	31.09655087
RPL3	9.519809324	31.09221248
RPLP0	8.508404321	31.08965895
VCL	6.662051715	31.08283993
GNB2	6.749035982	31.08134847
RPS3A	8.053898641	31.06173622
ST13	6.381227059	31.04635472
SYNCRIP	7.069340879	31.0350654
RPN1	7.71217147	31.02902827
HADH	5.522719887	31.02856724
ACADVL	8.103680877	31.02345783
LTA4H	6.320488829	31.01055167
CCT4	6.719791009	31.00785801
MUC16	9.841310455	31.0056687
AGR3	6.04593285	31.00515121
APEX1	6.686176376	30.99817095
PSME1	6.332467421	30.99485971
MUC5B	6.462637215	30.98361918
NUCB2	7.852208787	30.97028689
TUBB	7.718575897	30.9623506
TACSTD2	9.190352996	30.95072953
CTSC	7.821112667	30.94383857
UGP2	7.168428336	30.94127775
RPL5	8.484233487	30.92263813
MATR3	8.181424133	30.91227131
MUC4	9.49779844	30.90999621
TRIM28	6.594167123	30.90918747
ALCAM	9.420032821	30.90679015
ECHS1	6.028808492	30.90587906
HADHB	7.077161622	30.90574674
RNPEP	6.117667154	30.89884736
RSPH4A	7.382363436	30.88992199
RTCB	6.334663834	30.88853588
DDX1	6.805648714	30.88369539
KPNB1	7.428328147	30.87957919
EEF1G	9.015693898	30.87426208
PROM1	8.062478898	30.84936949
ARPC1B	6.626513075	30.84365316
PRKCSH	6.423056192	30.84106773
CROCC	7.043216258	30.84088521
COPB1	7.388577724	30.82589895
AHCY	6.011692455	30.82577348
NQO1	8.059603173	30.82472485
RPL12	6.652421316	30.80072897
SDHA	6.518562601	30.79084546
RPL4	9.764593524	30.78500981
LMNB1	3.318251858	30.77452408
AKR1B10	4.911858725	30.7693508
ALDH3B1	7.900772317	30.76915172
RPL10	8.692118344	30.76318159
SEPTIN2	8.502081833	30.737214
PPA2	5.753761448	30.72218787
FH	5.525986679	30.71094755
GNAI2	6.959784824	30.70962309
KIF5B	8.110537647	30.69651595
NPEPPS	6.73033084	30.68882859
RPS13	7.810557561	30.67946778
ATIC	5.485672064	30.67940306
CKAP4	6.102446541	30.66975145
CAPN1	7.939183301	30.6685588
RPL10A	8.593198793	30.6531459
TST	5.144693763	30.65266553
DDX17	8.697416399	30.63453202
RPL17	6.26046374	30.62563569
ATP5PB	6.836754085	30.6112432
FDXR	5.527396537	30.60237768
PHB	6.12105605	30.58558773
RPS4X	9.313333007	30.57475265
RPS6	9.469073076	30.55887229
DYNLL1	8.512529492	30.55802293
PSME2	5.272857585	30.5472008
METTL7A	6.857967609	30.54148131
CAPZB	6.610612669	30.53548848
MAOA	6.893775259	30.5306621
MYL12A	7.884115232	30.52976223
LZTFL1	6.978400247	30.52536911
ANXA3	6.286779637	30.51256928
ASS1	6.722819501	30.51187672
UBE2L3	6.321008893	30.5006552
DSP	9.269380287	30.48616025
CRIP2	5.728060751	30.4837199
PSMD1	6.694530629	30.48275228
SEPTIN7	6.990805964	30.47831463
IMMT	6.085451041	30.47473462
RRBP1	7.416198385	30.47250204
RPL15	9.244357541	30.47242706
YWHAH	6.330719652	30.45973062
RPL30	8.609627157	30.43370257
TMSB4X	8.314048606	30.43361538
CD9	8.648141157	30.4294458
SERPINB6	6.963028882	30.42433376
ALDH9A1	6.267175498	30.41998703
NONO	7.576848398	30.41739883
HSPE1	5.579551859	30.41326251
LMAN1	7.014053676	30.41078344
ALDH7A1	5.378968944	30.40954105
RPS2	7.09762594	30.40678306
RPS17	8.47630127	30.40256301
PSMD2	7.105322595	30.39600385
RPS8	8.618988152	30.39492882
S100A14	7.273377431	30.38958534
CYB5R3	6.850310112	30.38873508
PTGR1	6.015096303	30.38792941
ANXA8L1	7.455867701	30.38380043
PPP1CB	8.106702527	30.3770494
CIB1	7.618367523	30.37652917
CYB5A	6.446891541	30.37154172
ERICH3	7.106476332	30.37108913
TLN1	6.579449401	30.35050015
TTLL12	5.732706927	30.34775428
NIBAN2	7.84513692	30.34463956
ESD	5.701866226	30.34216077
NUMA1	7.96041014	30.33763313
DLD	6.680175417	30.33394263
ANP32A	5.960803203	30.32851281
RPL13	8.702276269	30.32583777
OGDH	6.439023576	30.31765544
HNRNPUL1	7.503484666	30.31461007
MTPN	6.686517143	30.31414569
COPA	7.570022994	30.3134532
KHDRBS1	6.444934867	30.30594458
VAPA	7.140296595	30.30514408
LGALS3BP	7.792648459	30.30499203
COX5A	5.855263247	30.27667344
USP5	5.821123531	30.26838417
SND1	6.377377115	30.26215657
ALDOC	1.9725885	30.26148931
ARPC2	7.974418575	30.25919821
DECR1	5.571498332	30.25845931
ILF2	6.987850969	30.2577404
GDI1	6.252645079	30.25545648
PGLS	5.133051279	30.25294264
GPX1	7.604370328	30.25253116
CDC42	8.192482621	30.25162941
ACAT2	5.15793368	30.24377468
RPL8	8.97658287	30.2432471
HNRNPR	7.068922517	30.23817464
MYH10	6.349035275	30.23112979
ETFA	5.754789495	30.22986875
ATP5PD	5.903779901	30.2288773
TMED10	7.70882414	30.22665387
MSN	6.019753179	30.22486018
CS	6.089968959	30.22195558
HSD17B10	4.605184732	30.21602074
WFDC2	8.305383713	30.20665068
PRPF19	5.900900884	30.19869497
MAP4	6.918181973	30.19164621
COPB2	8.063233771	30.18253508
GPI	6.355290133	30.17715036
GNB1	7.607524944	30.17366999
ALDH2	6.435437638	30.16664176
WARS1	6.400417828	30.16499843
TF	1.522971957	30.16360614
QARS1	7.424701704	30.15784425
LRPPRC	6.433677758	30.15229469
NDUFS1	6.844041588	30.15145516
RAB1A	6.896166399	30.15133328
SPATA18	7.698919953	30.143761
ATP6V1A	6.295054911	30.14285312
S100A2	8.629841796	30.13545047
LAP3	6.177082632	30.1341778
PDCD4	7.204639798	30.12911036
SH3BGRL3	5.96275698	30.12544192
ANXA7	7.162962855	30.12513071
PSMC5	6.707360306	30.12236938
AK1	5.778485435	30.12230075
RPL23A	7.780392368	30.12101034
NARS1	7.894289273	30.118526
OTUB1	6.178372252	30.11386953
RBBP4	6.459240982	30.10181931
VDAC2	5.391097898	30.09426652
CLU	7.737479182	30.07595306
CLINT1	7.636406149	30.07268752
COPG1	6.981900875	30.07235241
HK1	7.256306454	30.06846861
KHSRP	6.498090624	30.05671952
SF3B1	8.792693024	30.05329179
ALYREF	4.418550492	30.0470791
ACTR1A	6.247623969	30.03244077
RPLP1	7.671402591	30.02859402
BLVRB	4.992032467	30.02761994
ACAT1	5.411348168	30.02297933
SRSF3	7.312723232	30.02124844
PABPC1	8.820136049	30.01338227
TRIM29	8.338440976	30.00721894
HYOU1	6.478344899	30.00657289
GSTK1	6.629634272	30.00631224
PSMC3	6.668507703	29.99719878
ATP2B4	7.45453252	29.99290422
GATD3A	5.320314162	29.99153202
AIMP1	5.663399398	29.98993206
EIF3A	8.251299158	29.98641603
RPS14	8.450266997	29.9763189
ARPC3	6.996675116	29.97186739
DYNC1I2	6.205242368	29.97142562
CACYBP	5.112156092	29.96677944
CKMT1A	3.331587494	29.96641566
HNRNPUL2	7.087561027	29.96335639
NAP1L4	7.046483903	29.95898497
ERP29	6.683674289	29.95814518
BANF1	5.85702621	29.95729658
SF3B2	7.500548366	29.95414502
IFI16	7.566198503	29.95139448
GRHPR	5.187966279	29.93440554
U2AF2	6.924954444	29.9310385
VPS35	7.657692481	29.92417126
TPR	7.752588069	29.92394867
ACTR2	7.606589683	29.92085724
MARS1	6.264869528	29.91147996
EFTUD2	6.075693322	29.9062802
DDX3X	8.442440854	29.90196886
SKP1	7.815017217	29.90120612
SEPTIN9	7.683642789	29.8951049
TXNL1	5.590649717	29.89029459
RANBP1	5.379174507	29.89028612
PFKL	5.856452286	29.88997908
DCTN2	6.131155657	29.88912813
DNAH5	8.756284999	29.88369409
SERPINH1	5.017960727	29.88194986
NAP1L1	7.814516019	29.88043596
PGM1	4.791263975	29.87806601
UBE2N	5.986279393	29.87535992
AHSA1	7.084032241	29.87103778
AHNAK2	8.920394272	29.86453189
GCLC	6.969605824	29.85867291
RPS5	7.953685291	29.85625674
AK2	6.402728368	29.85439803
DNAJA1	8.208530467	29.85235833
DDAH1	5.473792485	29.84507195
EPS8L2	7.200966425	29.84343498
EIF2S3	6.336055847	29.84281675
AKR7A2	5.67930893	29.83893019
DPP3	5.05496121	29.83104156
HSD17B4	7.066606555	29.83046547
NUDC	7.394897892	29.82894186
NACA	8.391098611	29.8243667
RSPH1	8.142136131	29.82016441
ATP1B1	7.842420457	29.81271128
MYO1D	6.769989384	29.81114928
PAFAH1B2	6.158876665	29.80493843
PRKAR2A	6.296363335	29.79932311
MYO6	6.850989361	29.79664597
IARS1	6.823626775	29.79112515
CROCC2	5.640790839	29.78825357
SF3B3	6.645505274	29.78799694
SCP2	7.199551399	29.78447952
GPD2	5.993952673	29.78224175
BAIAP2	6.747621565	29.78009126
EWSR1	7.385224272	29.76764217
PGM2	5.43625397	29.75466282
PLS1	6.747721121	29.75465776
EVPL	6.473188618	29.75251827
SLC25A6	7.869768402	29.75241327
APRT	5.090145163	29.75180609
PDXK	6.667467066	29.7446044
OAT	7.787166631	29.73061095
BASP1	6.955605603	29.73016483
RPS15	6.897866856	29.72757903
EML2	5.605970958	29.71783432
PSMC4	5.947007942	29.70995327
PHB2	6.485802624	29.70591721
LARS1	6.998366987	29.70583201
RCC2	6.634954477	29.70043625
TKFC	5.088228482	29.69819764
HDLBP	9.23138559	29.69622442
SRSF1	7.106319173	29.69273545
RAB14	6.436958026	29.69217175
SNRNP200	7.895432341	29.68809882
ABRACL	4.665278076	29.6865251
RPS15A	7.00129116	29.68327326
AP1B1	6.405640308	29.67784055
ARL3	6.534328671	29.67478134
C1QBP	5.749453875	29.67215237
SERPINB4	7.688878557	29.66926296
MTHFD1	5.103902397	29.65235409
RAB1B	7.351130993	29.64791634
UQCRFS1	5.462636991	29.64501181
ADH1C	6.010076097	29.63668243
CCAR2	6.611563478	29.63443585
TWF1	6.671390944	29.63030115
EEF1B2	6.749331387	29.62715679
EIF4G1	8.100830025	29.62661196
DDB1	7.88976513	29.61996325
EIF4A2	8.801916817	29.61891751
HSPA4L	5.866587966	29.61408075
PAFAH1B3	4.200861157	29.60357248
RARS1	6.247260957	29.6008656
IARS2	6.879876324	29.59314857
DSG2	7.654584352	29.57745019
KARS1	6.792881738	29.57544902
PHGDH	5.135648873	29.57324285
PIR	5.309806242	29.56715149
NAGK	5.23052471	29.56538114
FUBP1	6.836265126	29.55988806
HNRNPDL	7.26158789	29.55461148
FBL	5.351516754	29.54081145
PARP1	6.188230226	29.5399957
FDPS	6.569570036	29.53881547
IGFBP2	8.020865837	29.53676337
STOML2	5.934802614	29.53564412
CAPZA2	6.45918276	29.53518022
SYNE2	8.423264629	29.52777914
SORD	6.216010808	29.5182126
PPP2CA	6.897319518	29.51727664
CBX3	6.317313482	29.51527239
SARS1	6.760357671	29.51410788
PRMT1	6.33937925	29.51356341
ERO1A	5.908483856	29.51225519
EIF3C	8.65720527	29.51009541
DBI	7.268443685	29.50629023
PREP	5.060238739	29.50026386
PRPF8	7.913320337	29.49851367
API5	6.38935931	29.49599874
GLOD4	5.789310407	29.49491627
SPAG6	7.465454689	29.49341961
AIFM1	5.031770929	29.47476838
DYNC2H1	7.489008217	29.46332332
PSMC6	5.521358287	29.4622218
CYC1	5.618127461	29.45523843
TNKS1BP1	7.297869168	29.4538136
TES	6.174559313	29.45066913
MTCH2	6.205832788	29.44281433
CDH1	8.196725899	29.43814389
HNRNPA0	6.410672317	29.43140677
DYNLRB1	6.123037437	29.43111699
ECH1	6.466116736	29.430237
TPP2	5.98693092	29.42643712
XPNPEP1	5.948845523	29.42190053
AGL	5.78884815	29.42132406
HP1BP3	6.359300175	29.42111194
SLC27A2	6.4999028	29.40639244
G6PD	4.861753486	29.4043127
SCARB2	6.917955521	29.39630634
USO1	6.653082542	29.39556406
RDX	6.175771874	29.38808137
RAP1B	6.429093156	29.38482926
MAPK1	6.76031741	29.38293889
ARCN1	6.855739989	29.37662081
CSNK2A1	6.417330832	29.37569659
CPNE3	6.980845285	29.3734504
PSMC1	4.936488726	29.37276479
ADSS2	6.691001209	29.37170993
VDAC3	7.136493898	29.36732741
NDUFV1	5.958206111	29.36644392
RAB7A	7.422708856	29.36009992
NUDT21	6.224012291	29.35439768
RPL22	6.459760265	29.35351193
DBNL	6.296520597	29.34239981
HNRNPH2	6.797349608	29.34045816
TMOD3	6.679149054	29.32774166
PSMC2	6.370390411	29.32677025
DYNC1LI2	7.138261774	29.31403783
MSLN	6.826581955	29.3140008
DDX5	9.899264607	29.31189031
PSMD7	6.343721392	29.30861784
ALDH18A1	5.723420986	29.30797605
ATP1B3	7.076862508	29.30703167
ETFB	5.050318603	29.30474422
PSMD3	5.754306507	29.2994021
EIF6	6.603647168	29.29161073
PYGL	6.170892382	29.28966289
IMPDH2	6.505755102	29.28905481
ATP5PO	6.57135395	29.28552896
ERLIN2	6.453003743	29.28113371
EIF3H	6.752270687	29.27331042
MAP1A	6.393911352	29.27290421
RSPH9	5.884520129	29.27150682
RBBP7	6.210489245	29.26892121
ABHD14B	5.036540419	29.25908616
ACLY	6.611753545	29.25612751
TMPO	5.623648025	29.25542626
APEH	6.002391568	29.24922824
CETN2	8.249509324	29.24330833
IDH3A	5.704256432	29.24255469
STRAP	5.936804621	29.24165997
NUDT5	6.3598189	29.23815516
RTN4	7.131465047	29.23505065
EPB41L1	6.669147225	29.22974371
SCCPDH	6.054643311	29.22258773
G3BP1	7.270277691	29.22100907
CORO1B	6.464697092	29.22056239
GART	5.933737454	29.21780154
DNM2	7.010129828	29.21264218
ARHGAP18	7.493275182	29.21261653
FSCN1	4.713307244	29.20663541
SEC31A	7.262889076	29.20619799
TXNDC17	5.189954257	29.20511813
STAT3	7.490021882	29.20193498
SRI	6.934701173	29.18319273
NIBAN1	6.183693455	29.17281828
TP53BP1	7.312267161	29.16827909
TARDBP	7.074121157	29.16618374
DNAH9	7.796411572	29.16616977
MPST	4.6265257	29.16417976
GMPPB	5.22707855	29.15991574
ANP32B	5.684540159	29.15847433
HIBADH	5.553324271	29.1558542
MTAP	4.4828692	29.14986035
ABHD11	4.801955154	29.14053919
LRRC59	6.178530433	29.13864121
PTPA	6.722093484	29.13631595
ANK3	6.874486342	29.13588166
MANF	4.507140042	29.13483615
XPO1	6.992348747	29.13267436
PPOX	5.905407187	29.12606467
LGALS1	3.22427458	29.12585082
BUB3	5.805773128	29.1247412
ITGB1	8.757018613	29.11704462
GNG12	7.245202325	29.11622484
UCHL3	4.633636015	29.09735571
GLIPR2	5.93269339	29.09720281
EIF4A3	5.548082496	29.09638473
PCMT1	5.496688306	29.09358584
RPL28	7.972513666	29.09240807
SEC22B	5.418508146	29.09160906
GCN1	6.579167169	29.08864937
IL1RN	6.135353776	29.08567598
PPP2R2A	5.73300964	29.07870491
PTMA	8.235880956	29.07699246
UGGT1	6.015732768	29.07655752
PFKP	5.570563303	29.06874851
CHORDC1	5.169675583	29.06386137
PSMD11	5.905638631	29.06172898
ERP44	5.305181946	29.0590759
NSFL1C	6.168658388	29.05858633
PSMD12	5.541284576	29.0569314
HARS1	5.906553472	29.05481456
LPP	6.189720187	29.05035482
AP2A1	5.964710721	29.04829914
EIF3L	8.057173941	29.04424137
EIF1	7.325605745	29.04360697
PTRHD1	4.40717411	29.04302025
UQCRB	6.979293965	29.04091307
UPF1	7.151134994	29.04004864
SLC9A3R1	7.864329265	29.03660012
YARS1	5.708999858	29.03607005
DNAJB1	7.211407934	29.02644644
SF3A1	6.126402982	29.02627505
CSE1L	6.343310474	29.02196839
SF1	6.626864035	29.01523538
NAPA	5.558200559	29.01464375
COPE	6.03608681	29.01454829
TRIM25	5.650232046	29.00281248
EIF3B	6.592255033	29.00231123
SHMT2	5.262393271	28.99967268
ADD3	7.772243054	28.99587912
CMAS	5.648254773	28.98800659
PSMD14	5.837371325	28.98480911
NDRG2	7.368761266	28.98177659
ADD1	6.963443057	28.97552816
ELAVL1	5.292712784	28.97370507
UBA6	5.899073982	28.9718888
EIF3I	6.097215658	28.97047969
ATP5F1C	6.858382675	28.96633256
LMNB2	5.553432813	28.96429252
HSD17B12	5.762629293	28.95991417
HMGB1	5.884562693	28.95794827
SUGT1	5.449519694	28.95628196
HINT2	3.927444137	28.95358592
RCC1	5.312230055	28.95336009
AKR1B1	4.75062668	28.94619289
HEXB	5.739915007	28.93744893
THRAP3	7.392367702	28.93158719
PCM1	8.538476672	28.92972177
TM9SF2	8.106671096	28.92759518
METAP1	5.693579133	28.92495863
VILL	7.124359713	28.92397162
AARS1	6.528095577	28.92229728
GPD1L	6.352357464	28.92215786
CARHSP1	5.498289406	28.91758166
PIN1	5.162249055	28.9163392
EIF2S1	5.667681453	28.91475931
BDH2	5.377570574	28.90421883
CFH	7.457709204	28.9008132
TOMM70	5.905838869	28.89443713
PAK2	6.330406539	28.89299553
ESYT1	5.875302868	28.88924444
MCCC2	5.812794766	28.88850829
EPS8L1	6.147903032	28.88744506
SUCLG2	5.571342568	28.88076564
ACIN1	7.010705824	28.87993265
KIF21A	7.722545924	28.87796879
DCTN1	7.067314978	28.87207798
TYMP	5.829281224	28.87048837
PSMD4	6.525944043	28.86817086
NAPRT	4.844663355	28.86499481
GET3	5.68800273	28.86217354
CTSH	7.82310639	28.85717413
LRRC47	4.938025227	28.85674575
CYB5R1	5.71532257	28.8492567
PAICS	5.459683292	28.84420667
GMPR2	6.161250206	28.84128579
HSDL2	5.68348692	28.82972132
SRSF2	6.588470539	28.82874373
DKC1	5.342654221	28.82697136
CFB	7.649431411	28.82472945
GSPT1	7.067814295	28.82461374
LONP1	5.499128909	28.82447408
MCTS1	4.686820245	28.82171236
GBP6	5.307438981	28.82146389
DNAJA4	7.912457188	28.81966674
HAGH	5.387819438	28.8190048
ACSL3	7.214423207	28.81800799
DENR	5.70584197	28.81736743
NCKAP1	7.311092578	28.81664934
CYFIP1	6.811591025	28.81554382
NIT2	5.151327333	28.81476494
PDHB	6.413850406	28.80797907
FUS	6.411519851	28.80391487
ARHGAP1	5.452006312	28.8033567
ISOC2	4.47720253	28.8026124
ARHGDIB	4.613560849	28.7885889
GLG1	6.723352512	28.78509474
GAA	5.178201432	28.77850007
SAFB	6.437074167	28.77468656
TPD52	5.447943682	28.75947671
EIF4H	7.606898273	28.75206724
DDAH2	4.884378503	28.74839792
NME5	5.888363496	28.74377053
SEPTIN11	6.339085231	28.74214842
BTF3	7.732217629	28.74128819
HIBCH	4.88700835	28.73387082
RO60	4.701399239	28.71393083
PAPSS1	7.165935891	28.71298882
MYO1B	7.446282873	28.71220823
MAGOHB	2.707907622	28.71188007
HSBP1	7.431360397	28.71170784
GALE	5.014421005	28.70994959
CHMP5	7.268160168	28.7039818
PSMD13	6.144445301	28.70332968
DLG1	6.815288593	28.69864761
SEC13	5.515566802	28.69770495
FLOT2	6.591459607	28.69663632
SUCLG1	5.616495606	28.69370434
CRYZ	4.189737004	28.68928305
ALDH4A1	4.743490618	28.68906851
GNA11	6.539167481	28.68769759
LYPLA1	5.263833171	28.68542522
NOP56	6.091256127	28.6803896
UBA2	6.137892301	28.6770906
FAM120A	7.241527682	28.67704953
ERMP1	6.535524623	28.67582907
PDHA1	5.464882439	28.67096432
HUWE1	7.658647819	28.66982393
TMC5	8.004301596	28.65546374
EHD1	4.697413103	28.65134056
HNRNPAB	6.391655265	28.65006352
UBA3	6.154688356	28.64938147
SMIM22	5.253523794	28.6452375
PFN2	7.251516277	28.64262331
EIF3D	7.230192303	28.64257822
VAPB	5.705702373	28.63906496
UBAP2L	6.933306612	28.63709929
FLOT1	6.255941871	28.62850332
DDOST	6.702452428	28.62443607
LRBA	7.61048492	28.623628
APPL2	6.449976962	28.62301301
GM2A	6.920377463	28.61651315
GLRX	5.453617324	28.61381355
PSAP	9.018071041	28.60944863
PRPF40A	7.065519705	28.60935829
LYPLA2	5.917980605	28.60523381
