Protein	CoV2	Type
GLA	nsp14	Capping enzymes
IMPDH2	nsp14	Capping enzymes
SIRT5	nsp14	Capping enzymes
NUTF2	nsp15	Capping enzymes
ARF6	nsp15	Capping enzymes
RNF41	nsp15	Capping enzymes
SLC27A2	nsp2	Non-structural
EIF4E2	nsp2	Non-structural
POR	nsp2	Non-structural
RAP1GDS1	nsp2	Non-structural
WASHC4	nsp2	Non-structural
FKBP15	nsp2	Non-structural
GIGYF2	nsp2	Non-structural
IDE	nsp4	Non-structural
TIMM10	nsp4	Non-structural
ALG11	nsp4	Non-structural
NUP210	nsp4	Non-structural
TIMM29	nsp4	Non-structural
DNAJC11	nsp4	Non-structural
TIMM10B	nsp4	Non-structural
TIMM9	nsp4	Non-structural
HDAC2	nsp5	Non-structural
GPX1	nsp5_C145A	Non-structural
TRMT1	nsp5_C145A	Non-structural
ATP5MG	nsp6	Non-structural
ATP6AP1	nsp6	Non-structural
SIGMAR1	nsp6	Non-structural
ATP13A3	nsp6	Non-structural
AGPS	nsp7	Replication complex
CYB5B	nsp7	Replication complex
ACSL3	nsp7	Replication complex
CYB5R3	nsp7	Replication complex
RALA	nsp7	Replication complex
COMT	nsp7	Replication complex
RAB5C	nsp7	Replication complex
RAB7A	nsp7	Replication complex
RAB8A	nsp7	Replication complex
RAB2A	nsp7	Replication complex
RAB10	nsp7	Replication complex
RAB14	nsp7	Replication complex
RHOA	nsp7	Replication complex
RAB1A	nsp7	Replication complex
GNB1	nsp7	Replication complex
GNG5	nsp7	Replication complex
LMAN2	nsp7	Replication complex
MOGS	nsp7	Replication complex
TOR1AIP1	nsp7	Replication complex
MTARC1	nsp7	Replication complex
QSOX2	nsp7	Replication complex
HS2ST1	nsp7	Replication complex
NDUFAF2	nsp7	Replication complex
SCCPDH	nsp7	Replication complex
SCARB1	nsp7	Replication complex
NAT14	nsp7	Replication complex
DCAKD	nsp7	Replication complex
FAM162A	nsp7	Replication complex
DNAJC19	nsp7	Replication complex
SELENOS	nsp7	Replication complex
PTGES2	nsp7	Replication complex
RAB18	nsp7	Replication complex
MPHOSPH10	nsp8	Replication complex
SRP72	nsp8	Replication complex
ATE1	nsp8	Replication complex
NSD2	nsp8	Replication complex
SRP19	nsp8	Replication complex
SRP54	nsp8	Replication complex
MRPS25	nsp8	Replication complex
DDX10	nsp8	Replication complex
LARP7	nsp8	Replication complex
MEPCE	nsp8	Replication complex
NGDN	nsp8	Replication complex
EXOSC8	nsp8	Replication complex
NARS2	nsp8	Replication complex
NOL10	nsp8	Replication complex
CCDC86	nsp8	Replication complex
SEPSECS	nsp8	Replication complex
EXOSC5	nsp8	Replication complex
EXOSC3	nsp8	Replication complex
AATF	nsp8	Replication complex
HECTD1	nsp8	Replication complex
MRPS2	nsp8	Replication complex
MRPS5	nsp8	Replication complex
EXOSC2	nsp8	Replication complex
MRPS27	nsp8	Replication complex
GTF2F2	nsp9	Non-structural
FBN1	nsp9	Non-structural
FBN2	nsp9	Non-structural
NUP214	nsp9	Non-structural
NUP62	nsp9	Non-structural
DCAF7	nsp9	Non-structural
EIF4H	nsp9	Non-structural
NUP54	nsp9	Non-structural
MIB1	nsp9	Non-structural
SPART	nsp9	Non-structural
NEK9	nsp9	Non-structural
ZNF503	nsp9	Non-structural
NUP88	nsp9	Non-structural
NUP58	nsp9	Non-structural
MAT2B	nsp9	Non-structural
FBLN5	nsp9	Non-structural
PPT1	orf10	Open reading frames
CUL2	orf10	Open reading frames
MAP7D1	orf10	Open reading frames
THTPA	orf10	Open reading frames
ZYG11B	orf10	Open reading frames
TIMM8B	orf10	Open reading frames
RBX1	orf10	Open reading frames
ELOC	orf10	Open reading frames
ELOB	orf10	Open reading frames
HMOX1	orf3a	Open reading frames
TRIM59	orf3a	Open reading frames
ARL6IP6	orf3a	Open reading frames
VPS39	orf3a	Open reading frames
CLCC1	orf3a	Open reading frames
VPS11	orf3a	Open reading frames
SUN2	orf3a	Open reading frames
ALG5	orf3a	Open reading frames
STOML2	orf3b	Open reading frames
NUP98	orf6	Open reading frames
RAE1	orf6	Open reading frames
MTCH1	orf6	Open reading frames
HEATR3	orf7a	Open reading frames
MDN1	orf7a	Open reading frames
PLOD2	orf8	Open reading frames
TOR1A	orf8	Open reading frames
STC2	orf8	Open reading frames
PLAT	orf8	Open reading frames
ITGB1	orf8	Open reading frames
CISD3	orf8	Open reading frames
COL6A1	orf8	Open reading frames
PVR	orf8	Open reading frames
DNMT1	orf8	Open reading frames
LOX	orf8	Open reading frames
PCSK6	orf8	Open reading frames
INHBE	orf8	Open reading frames
NPC2	orf8	Open reading frames
MFGE8	orf8	Open reading frames
OS9	orf8	Open reading frames
NPTX1	orf8	Open reading frames
POGLUT2	orf8	Open reading frames
POGLUT3	orf8	Open reading frames
ERO1B	orf8	Open reading frames
PLD3	orf8	Open reading frames
FOXRED2	orf8	Open reading frames
CHPF	orf8	Open reading frames
PUSL1	orf8	Open reading frames
EMC1	orf8	Open reading frames
GGH	orf8	Open reading frames
ERLEC1	orf8	Open reading frames
IL17RA	orf8	Open reading frames
NGLY1	orf8	Open reading frames
HS6ST2	orf8	Open reading frames
SDF2	orf8	Open reading frames
NEU1	orf8	Open reading frames
GDF15	orf8	Open reading frames
TM2D3	orf8	Open reading frames
ERP44	orf8	Open reading frames
EDEM3	orf8	Open reading frames
SIL1	orf8	Open reading frames
POFUT1	orf8	Open reading frames
SMOC1	orf8	Open reading frames
PLEKHF2	orf8	Open reading frames
FBXL12	orf8	Open reading frames
UGGT2	orf8	Open reading frames
CHPF2	orf8	Open reading frames
ADAMTS1	orf8	Open reading frames
HYOU1	orf8	Open reading frames
FKBP7	orf8	Open reading frames
ADAM9	orf8	Open reading frames
FKBP10	orf8	Open reading frames
SLC9A3R1	orf9b	Open reading frames
CHMP2A	orf9b	Open reading frames
CSDE1	orf9b	Open reading frames
TOMM70	orf9b	Open reading frames
MARK3	orf9b	Open reading frames
MARK2	orf9b	Open reading frames
DPH5	orf9b	Open reading frames
DCTPP1	orf9b	Open reading frames
MARK1	orf9b	Open reading frames
PTBP2	orf9b	Open reading frames
BAG5	orf9b	Open reading frames
UBXN8	orf9c	Open reading frames
GPAA1	orf9c	Open reading frames
WFS1	orf9c	Open reading frames
ABCC1	orf9c	Open reading frames
F2RL1	orf9c	Open reading frames
SCAP	orf9c	Open reading frames
DPY19L1	orf9c	Open reading frames
TMEM97	orf9c	Open reading frames
SLC30A6	orf9c	Open reading frames
TAPT1	orf9c	Open reading frames
ERMP1	orf9c	Open reading frames
NLRX1	orf9c	Open reading frames
RETREG3	orf9c	Open reading frames
PIGO	orf9c	Open reading frames
FAR2	orf9c	Open reading frames
ECSIT	orf9c	Open reading frames
ALG8	orf9c	Open reading frames
TMEM39B	orf9c	Open reading frames
GHITM	orf9c	Open reading frames
ACAD9	orf9c	Open reading frames
NDFIP2	orf9c	Open reading frames
BCS1L	orf9c	Open reading frames
NDUFAF1	orf9c	Open reading frames
TMED5	orf9c	Open reading frames
NDUFB9	orf9c	Open reading frames
PIGS	orf9c	Open reading frames
