© 2000-2020 QIAGEN. All rights reserved.

Analysis Details for My Projects->AlexC->MockvVirus_DEP - 2020-10-08 04:50 PM
Workspace	My Projects
Project	AlexC
Analysis	MockvVirus_DEP - 2020-10-08 04:50 PM
Date	Wed Oct 07 22:44:01 PDT 2020
Analysis ID	19812273

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	down regulated -0.267 and up regulated 0.267
Cutoff for Expression pvalue	0.05
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR fusion gene/product OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->AlexC->MockvVirus_DEP - 2020-10-08 04:50 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Role of PKR in Interferon Induction and Antiviral Response	2.15E00		2.56E-02	BID,CASP3,HSPA2	
EIF2 Signaling	2.17E00		1.79E-02	EIF3D,EIF3G,EIF3M,RPS12	
TWEAK Signaling	2.21E00		5.71E-02	BID,CASP3	
mTOR Signaling	2.27E00		1.90E-02	EIF3D,EIF3G,EIF3M,RPS12	
Apoptosis Signaling	2.35E00		3.03E-02	BID,CASP3,DFFA	
Regulation of eIF4 and p70S6K Signaling	2.72E00		2.55E-02	EIF3D,EIF3G,EIF3M,RPS12	
Phagosome Maturation	2.78E00		2.65E-02	ATP6V1F,DYNLT1,PRDX2,TUBA4A	
RAN Signaling	2.84E00		1.18E-01	IPO5,RANBP2	
Induction of Apoptosis by HIV1	2.95E00		4.92E-02	BID,CASP3,DFFA	
Retinoic acid Mediated Apoptosis Signaling	2.97E00		5.00E-02	BID,CASP3,PARP4	
Cleavage and Polyadenylation of Pre-mRNA	3.15E00		1.67E-01	CSTF3,NUDT21	
Ketogenesis	3.23E00		1.82E-01	HADHB,HMGCL	
Death Receptor Signaling	3.61E00		4.40E-02	BID,CASP3,DFFA,PARP4	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	3.7E00		8.82E-02	BID,CASP3,DFFA	
Tumoricidal Function of Hepatic Natural Killer Cells	4.16E00		1.25E-01	BID,CASP3,DFFA	
Granzyme B Signaling	4.71E00		1.88E-01	BID,CASP3,DFFA	

Upstream Regulators for My Projects->AlexC->MockvVirus_DEP - 2020-10-08 04:50 PM
Analysis	ID	Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Notes	Bias Term	Bias-corrected z-score	p-value of overlap	Target molecules in dataset	Mechanistic Network	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	MYC	 	transcription regulator	 	-0.140	 	-0.067	0.087	6.95E-05	ALCAM,CASP3,COX5B,EIF3D,EIF3G,HADHB,MBP,NUDT21,PML,PRDX2,RANBP2,RPS12,S100A6,SNRPD1	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	Atg5	 	other	 	 	 	 	 	1.17E-04	BID,CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	delta-9-tetrahydrocannabinol	 	chemical drug	 	 	 	 	 	1.88E-04	ALCAM,BID,DFFA,PRDX2	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	TCF3	 	transcription regulator	 	0.152	 	-0.042	0.235	3.07E-04	ALCAM,BID,CASP3,MANF,PML,PRDX2,SCIN	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	uridine	 	chemical - endogenous mammalian	 	 	 	 	 	3.26E-04	CASP3,HADHB	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	rhein	 	chemical - endogenous non-mammalian	 	 	 	 	 	7.61E-04	BID,CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	GnRH analog	 	biologic drug	 	-0.816	 	0.007	-0.833	1.02E-03	ACP1,CASP3,HADHB,HSPA2,MLF1,UBR4	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	12-(3-adamantan-1-yl-ureido) dodecanoic acid	 	chemical reagent	 	 	 	 	 	1.49E-03	BID,CASP3,PRDX2	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	ursolic acid	 	chemical drug	 	 	 	 	 	2.16E-03	CASP3,LARS1,MBP	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	TP53	 	transcription regulator	 	-1.284	 	-0.020	-1.217	2.34E-03	ADD3,AKAP9,BID,CASP3,FAM120A,GNAQ,HADHB,LYPLA1,MACROH2A2,NPEPPS,PABPC4,PML,PRDX2,RPS12,UBA1	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	edaravone	 	chemical drug	 	 	 	 	 	2.37E-03	CASP3,PRDX2	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	ST1926	 	chemical drug	 	1.000	 	0.163	0.675	2.41E-03	CLIC1,COX5B,EIF3D,EIF3G	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	fenretinide	 	chemical drug	 	 	 	 	 	2.60E-03	BID,CASP3,ENAH	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	IND S1	 	chemical - kinase inhibitor	 	 	 	 	 	2.60E-03	GLOD4,PRDX2	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	MTPN	-0.465	transcription regulator	 	 	 	 	 	2.89E-03	CASP3,MTPN,S100A6	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	sirolimus	 	chemical drug	 	0.494	 	0.082	0.301	3.25E-03	BID,CASP3,CLIC1,MBP,PML,RPS12,UBA1	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	MYCL	 	transcription regulator	 	 	 	 	 	3.31E-03	LARS1,NUDT21,SNRPD1	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	BDNF-AS	 	other	 	 	 	 	 	3.46E-03	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	BL-V8-310	 	chemical reagent	 	 	 	 	 	3.46E-03	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	Clathrin	 	complex	 	 	 	 	 	3.46E-03	CKAP5	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	PHF10	 	other	 	 	 	 	 	3.46E-03	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	RIC8A	-0.241	other	 	 	 	 	 	3.46E-03	GNAQ	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	UCM03025	 	chemical reagent	 	 	 	 	 	3.46E-03	MBP	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	VPS4B	-0.033	transporter	 	 	 	 	 	3.46E-03	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	epi-BL-V8-310	 	chemical reagent	 	 	 	 	 	3.46E-03	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	fluorescein	 	chemical drug	 	 	 	 	 	3.46E-03	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	gataparsen	 	biologic drug	 	 	 	 	 	3.46E-03	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	tubulin	 	complex	 	 	 	 	 	3.46E-03	GNAQ	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	IRF5	 	transcription regulator	 	 	 	 	 	3.53E-03	BID,CASP3,OAS2	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	CTSS	-0.158	peptidase	 	 	 	 	 	3.91E-03	BID,CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	diallyl disulfide	 	chemical - endogenous non-mammalian	 	 	 	 	 	3.91E-03	BID,CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	let-7a-5p (and other miRNAs w/seed GAGGUAG)	 	mature microrna	 	1.954	 	0.169	1.624	3.96E-03	ACP1,ATP6V1F,CASP3,MTPN	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	mir-122	 	microrna	 	 	 	 	 	4.12E-03	NPEPPS,SEPTIN2,TNPO2	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	IND S7	 	chemical - kinase inhibitor	 	 	 	 	 	4.20E-03	GLOD4,PRDX2	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	MEL S3	 	chemical - kinase inhibitor	 	 	 	 	 	4.51E-03	GLOD4,PRDX2	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	vitamin K3	 	chemical drug	 	 	 	 	 	5.47E-03	BID,CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	BDNF	 	growth factor	 	0.728	 	-0.071	0.884	5.65E-03	BID,CASP3,GNAQ,HSPA2,MBP	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	arsenic trioxide	 	chemical drug	 	 	 	 	 	5.80E-03	ATP6V1F,COX5B,HSPA2,PML,SH3GLB1	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	ZBTB7A	 	transcription regulator	 	 	 	 	 	5.81E-03	BID,CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	imatinib	 	chemical drug	 	 	 	 	 	5.87E-03	ATP6V1F,CASP3,COX5B,HSPA2,SH3GLB1	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	MMP3	 	peptidase	 	 	 	 	 	5.93E-03	CSTF3,NUDT21,RBM8A	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	caffeic acid phenethyl ester	 	chemical drug	 	 	 	 	 	5.93E-03	CASP3,S100A6,TCP1	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	CDK5	 	kinase	 	 	 	 	 	6.16E-03	CASP3,MBP	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	CD24	 	other	 	 	 	 	 	6.25E-03	ADD3,PRDX2,RANBP2	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	POU5F1	 	transcription regulator	 	1.277	 	-0.059	1.407	6.48E-03	BID,CASP3,DFFA,NUDT21,SH3GLB1	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	PLP1	 	other	 	 	 	 	 	6.88E-03	MBP,SEPTIN2	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	1,1-bis(3'-indolyl)-1-(4-chlorophenyl)methane	 	chemical reagent	 	 	 	 	 	6.90E-03	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	ACSL1	-0.268	enzyme	 	 	 	 	 	6.90E-03	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	APOC1	 	transporter	 	 	 	 	 	6.90E-03	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	ARHGEF28	 	other	 	 	 	 	 	6.90E-03	GNAQ	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	ATG12	 	other	 	 	 	 	 	6.90E-03	MBP	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	ERCC6	 	transcription regulator	 	 	 	 	 	6.90E-03	MBP	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	FAIM2	 	other	 	 	 	 	 	6.90E-03	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	HIF1A-AS1	 	other	 	 	 	 	 	6.90E-03	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	IVNS1ABP	 	other	 	 	 	 	 	6.90E-03	PML	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	MIR585	 	microrna	 	 	 	 	 	6.90E-03	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	SEPTIN5	 	enzyme	 	 	 	 	 	6.90E-03	SEPTIN2	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	VRK2	 	kinase	 	 	 	 	 	6.90E-03	TCP1	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	ZNF76	 	transcription regulator	 	 	 	 	 	6.90E-03	TCP1	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	cyclo(iso-Asp-GR)-LLIIKLAKLAKKLAKLAK	 	chemical reagent	 	 	 	 	 	6.90E-03	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	ginkgetin	 	chemical - endogenous non-mammalian	 	 	 	 	 	6.90E-03	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	miR-483-5p (miRNAs w/seed AGACGGG)	 	mature microrna	 	 	 	 	 	6.90E-03	ALCAM	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	NDRG1	0.564	kinase	 	 	 	 	 	7.26E-03	CASP3,PML	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	TARDBP	0.250	transcription regulator	 	 	 	 	 	7.65E-03	CASP3,MBP	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	MAP4K4	 	kinase	 	 	 	 	 	7.97E-03	HADHB,HMGCL,KYAT3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	tetraethylammonium	 	chemical drug	 	 	 	 	 	8.45E-03	LYPLA1,TCP1	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	CCR5	 	g-protein coupled receptor	 	 	 	 	 	9.28E-03	BID,CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	SLC27A2	0.318	transporter	 	 	 	 	 	9.71E-03	HADHB,HMGCL	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	BIRC7	 	enzyme	 	 	 	 	 	1.03E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	CKLF	 	cytokine	 	 	 	 	 	1.03E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	CRYAA/CRYAA2	 	other	 	 	 	 	 	1.03E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	Gamma tubulin	 	group	 	 	 	 	 	1.03E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	Prl3b1	 	growth factor	 	 	 	 	 	1.03E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	amifostine	 	chemical drug	 	 	 	 	 	1.03E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	prostratin	 	chemical - endogenous non-mammalian	 	 	 	 	 	1.03E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	ropivacaine	 	chemical drug	 	 	 	 	 	1.03E-02	MBP	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	safrole	 	chemical toxicant	 	 	 	 	 	1.03E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	lenalidomide	 	chemical drug	 	0.277	 	-0.040	0.355	1.05E-02	BID,DFFA,EIF3M,SEPTIN2	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	prednisolone	 	chemical drug	 	1.000	 	0.073	0.853	1.06E-02	BID,CASP3,PRDX2,TUBA4A	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	NR3C2	 	ligand-dependent nuclear receptor	 	 	 	 	 	1.19E-02	BID,MLF1,TUBA4A	 	
