Drug Name	dbID	mean_proximity	z-score	p-value	No.of.Targets	Mean_degrees	Therap_class	AgeGroup
METHYL (2Z)-3-METHOXY-2-{2-[(E)-2-PHENYLVINYL]PHENYL}ACRYLATE	DB08330	2.07	-2.851820514	0.002173482	8	78.625	Unknown	YA
Flavin adenine dinucleotide	DB03147	2.145454545	-2.745469359	0.00302122	11	56.45454545	Vitamins	YA
Imidazole	DB03366	2.002666667	-2.728267056	0.003183402	5	92.6	Thromboxane-A Synthase, antagonists & inhibitors	YA
Azoxystrobin	DB07401	2.07	-2.726287169	0.003202562	8	78.625	Fungicide	YA
Medical Cannabis	DB14009	2.081904762	-2.724026326	0.003224568	7	100.8571429	Cannabinoids and similars	YA
Nabiximols	DB14011	2.081904762	-2.573104921	0.005039532	7	100.8571429	Cannabinoids and similars	YA
Glutamic acid	DB00142	2.095555556	-2.566936658	0.005130068	6	42	Acid preparations	YA
Cannabidiol	DB09061	2.085833333	-2.561154312	0.00521625	8	91.625	Cannabinoids and similars	YA
Artenimol	DB11638	1.871165008	-14.00907313	6.86E-45	67	216.3134328	Antimalarial	OA
Fostamatinib	DB12010	1.953972868	-11.00857725	1.74E-28	86	166.255814	Protein kinase inhibitors	OA
Copper	DB09130	1.919345238	-10.36770651	1.74E-25	70	186.7285714	Copper compounds	OA
Phenethyl Isothiocyanate	DB12695	1.840038314	-9.921160717	1.68E-23	29	297.7586207	Anticancer agents	OA
Zinc	DB01593	2.009947447	-7.435065919	5.23E-14	37	155.4054054	Zinc compound	OA
Zinc acetate	DB14487	2.009947447	-7.109907454	5.81E-13	37	155.4054054	Zinc compound	OA
Zinc chloride	DB14533	1.992559524	-6.774488527	6.24E-12	28	178.4642857	Zinc compound	OA
GDP	DB04315	1.908459596	-6.48269406	4.50E-11	22	194.7272727	Nucleotides	OA
Arsenic trioxide	DB01169	1.783179012	-5.876999547	2.09E-09	9	387.6666667	Anticancer agents	OA
Quercetin	DB04216	1.852272727	-5.738289232	4.78E-09	11	260.4545455	Antioxidants	OA
(S)-3-phenyllactic acid	DB02494	1.885732323	-5.502197103	1.88E-08	11	207.3636364	Unknown	OA
Puromycin	DB08437	1.878472222	-5.458596477	2.40E-08	10	211.4	Antibiotics	OA
Dasatinib	DB01254	1.847993827	-5.367525165	3.99E-08	9	264.6666667	Anticancer agents	OA
Acetylsalicylic acid	DB00945	1.902199074	-5.355450371	4.27E-08	12	252.6666667	Anti-inflammatory agents	OA
Lanoteplase	DB06245	1.952020202	-5.355202413	4.27E-08	11	164.9090909	Plasminogen activator	OA
Zinc sulfate	DB14548	1.992559524	-5.333930835	4.81E-08	28	178.4642857	Zinc compound	OA
Anisomycin	DB07374	1.885732323	-5.177014238	1.13E-07	11	207.3636364	Antibiotics	OA
Phosphoaminophosphonic Acid-Adenylate Ester	DB04395	1.888888889	-4.981478422	3.16E-07	11	221.1818182	Unknown	OA
(3AR,6R,6AS)-6-((S)-((S)-CYCLOHEX-2-ENYL)(HYDROXY)METHYL)-6A-METHYL-4-OXO-HEXAHYDRO-2H-FURO[3,2-C]PYRROLE-6-CARBALDEHYDE	DB08515	1.957799145	-4.952318429	3.67E-07	13	135.9230769	Unknown	OA
Patupilone	DB03010	1.829861111	-4.886405903	5.13E-07	6	252.6666667	Tubilin modulators	OA
NADH	DB00157	2.15625	-4.695108432	1.33E-06	48	60.20833333	Dietary supplement	OA
CYT997	DB05147	1.864583333	-4.587102151	2.25E-06	8	214.375	Anticancer agents	OA
Minocycline	DB01017	1.918402778	-4.46834002	3.94E-06	8	206.125	Antibiotics	OA
Pseudoephedrine	DB00852	1.826388889	-4.421428205	4.90E-06	6	327.1666667	Sympathomimetics	OA
Isoprenaline	DB01064	1.827777778	-4.273220729	9.63E-06	5	282	Adrenergic and dopaminergic agents	OA
ATP	DB00171	1.952651515	-4.271089722	9.73E-06	11	198.4545455	Nucleotides	OA
Moroctocog alfa	DB13999	1.880787037	-4.249363372	1.07E-05	6	195.6666667	Hemostatics	OA
Myristic acid	DB08231	1.956597222	-4.245326692	1.09E-05	8	157.875	Lipids	OA
Lonoctocog alfa	DB13998	1.880787037	-4.208479894	1.29E-05	6	195.6666667	Hemostatics	OA
N-[2-(2-methyl-1H-indol-3-yl)ethyl]thiophene-2-carboxamide	DB08235	1.953373016	-4.15360224	1.64E-05	7	113.7142857	Unknown	OA
SF1126	DB05210	1.8375	-4.112345322	1.96E-05	5	247.4	Protein kinase inhibitors	OA
(2S)-2-(3-bromophenyl)-3-(5-chloro-2-hydroxyphenyl)-1,3-thiazolidin-4-one	DB08236	1.953373016	-4.06390367	2.41E-05	7	113.7142857	Unknown	OA
Brigatinib	DB12267	1.792824074	-4.032133299	2.76E-05	6	383	Protein kinase inhibitors	OA
Resveratrol	DB02709	1.973090278	-4.021681369	2.89E-05	8	253.125	Pyrans	OA
Epothilone D	DB01873	1.829861111	-3.981826043	3.42E-05	6	252.6666667	Tubilin modulators	OA
Antihemophilic factor, human recombinant	DB00025	1.880787037	-3.979745255	3.45E-05	6	195.6666667	Blood coagulation factors	OA
2,6,8-Trimethyl-3-Amino-9-Benzyl-9-Methoxynonanoic Acid	DB02506	1.872222222	-3.908187013	4.65E-05	5	208.8	Unknown	OA
Bosutinib	DB06616	1.838888889	-3.85031676	5.90E-05	5	249.4	Protein kinase inhibitors	OA
Regorafenib	DB08896	1.891666667	-3.715441102	0.000101425	5	246.8	Protein kinase inhibitors	OA
Fluocinolone acetonide	DB00591	1.97337963	-3.676554354	0.000118203	6	140	Corticosteroids	OA
Ponatinib	DB08901	1.8875	-3.528030888	0.000209332	5	231	Protein kinase inhibitors	OA
Calcium phosphate dihydrate	DB14481	2.108660131	-3.507507536	0.000226163	17	68.29411765	Calcium compounds	OA
Calcium Phosphate	DB11348	2.108660131	-3.470734428	0.000259519	17	68.29411765	Calcium compounds	OA
Tenecteplase	DB00031	1.951388889	-3.406974634	0.000328436	6	145.3333333	Plasminogen activator	OA
Calcium citrate	DB11093	2.108660131	-3.310308087	0.000465967	17	68.29411765	Calcium compounds	OA
Tiludronic acid	DB01133	2.084821429	-3.265109054	0.00054711	14	65.92857143	Bisphosphonates	OA
Calcium	DB01373	2.075694444	-3.12451761	0.000890484	10	90.1	Calcium compounds	OA
N-Formylmethionine	DB04464	2.09280303	-2.952018365	0.001578521	11	118.5454545	Amino acids	OA
Insulin pork	DB00071	1.973611111	-2.941209208	0.001634668	5	132	Insulin	OA
6-Hydroxy-5-undecyl-4,7-benzothiazoledione	DB04799	2.0859375	-2.936383794	0.001660316	8	73.125	Sulfur compounds	OA
Glutathione	DB00143	2.168650794	-2.91978075	0.001751389	14	38.85714286	Glutathione, antagonists & inhibitors	OA
Azoxystrobin	DB07401	2.0859375	-2.799881571	0.002556068	8	73.125	Fungicide	OA
2-Nonyl-4-quinolinol 1-oxide	DB08453	2.0859375	-2.784910519	0.002677125	8	73.125	Unknown	OA
(5S)-3-ANILINO-5-(2,4-DIFLUOROPHENYL)-5-METHYL-1,3-OXAZOLIDINE-2,4-DIONE	DB07763	2.0859375	-2.78457724	0.002679878	8	73.125	Unknown	OA
METHYL (2Z)-3-METHOXY-2-{2-[(E)-2-PHENYLVINYL]PHENYL}ACRYLATE	DB08330	2.0859375	-2.66187763	0.003885306	8	73.125	Unknown	OA
2-Hexyloxy-6-Hydroxymethyl-Tetrahydro-Pyran-3,4,5-Triol	DB04141	2.113005051	-2.660621899	0.003899824	11	71.90909091	Unknown	OA
Cannabidiol	DB09061	2.086805556	-2.624642518	0.004336999	8	89.125	Cannabinoids and similars	OA
Theophylline	DB00277	1.997222222	-2.620678184	0.004387753	5	165.6	Bronchodilator agents	OA
Pyridoxal phosphate	DB00114	2.143229167	-2.595763001	0.004719057	8	29.25	Vitamins	OA
Nabiximols	DB14011	2.087301587	-2.593525594	0.004749873	7	98.28571429	Cannabinoids and similars	OA
Ubiquinone Q2	DB08690	2.0859375	-2.578576634	0.004960415	8	73.125	Vitamins	OA
Medical Cannabis	DB14009	2.087301587	-2.56057696	0.005224926	7	98.28571429	Cannabinoids and similars	OA
(S)-famoxadone	DB07778	2.0859375	-2.53333193	0.005649195	8	73.125	Unknown	OA
Fostamatinib	DB12010	1.942827443	-12.33905246	2.79E-35	91	172.2197802	Protein kinase inhibitors	All
Copper	DB09130	1.904908585	-11.48971547	7.43E-31	68	197.4705882	Copper compounds	All
Artenimol	DB11638	1.868038493	-12.0534866	9.30E-34	66	221.8484848	Antimalarial	All
NADH	DB00157	2.138263263	-5.519728926	1.70E-08	54	66.18518519	Dietary supplement	All
Zinc	DB01593	1.987612613	-7.107939658	5.89E-13	36	169.2222222	Zinc compound	All
Zinc acetate	DB14487	1.987612613	-7.321860017	1.22E-13	36	169.2222222	Zinc compound	All
Phenethyl Isothiocyanate	DB12695	1.835004359	-8.800671436	6.80E-19	31	295.3870968	Anticancer agents	All
Zinc chloride	DB14533	1.977557915	-6.957071216	1.74E-12	28	191.5	Zinc compound	All
Zinc sulfate	DB14548	1.977557915	-6.278002339	1.71E-10	28	191.5	Zinc compound	All
GDP	DB04315	1.898034398	-7.599577953	1.49E-14	22	202	Nucleotides	All
Calcium citrate	DB11093	2.092905405	-3.748773034	8.89E-05	16	71.9375	Calcium compounds	All
Calcium Phosphate	DB11348	2.092905405	-3.860246748	5.66E-05	16	71.9375	Calcium compounds	All
Calcium phosphate dihydrate	DB14481	2.092905405	-3.693430355	0.000110625	16	71.9375	Calcium compounds	All
Phosphoaminophosphonic Acid-Adenylate Ester	DB04395	1.896718147	-5.617383935	9.69E-09	14	219	Unknown	All
(3AR,6R,6AS)-6-((S)-((S)-CYCLOHEX-2-ENYL)(HYDROXY)METHYL)-6A-METHYL-4-OXO-HEXAHYDRO-2H-FURO[3,2-C]PYRROLE-6-CARBALDEHYDE	DB08515	1.961018711	-4.708523898	1.25E-06	13	140.8461538	Unknown	All
Tiludronic acid	DB01133	2.076923077	-3.597973172	0.000160353	13	67.23076923	Bisphosphonates	All
Acetylsalicylic acid	DB00945	1.873873874	-6.744387839	7.68E-12	12	270.25	Anti-inflammatory agents	All
(S)-3-phenyllactic acid	DB02494	1.891277641	-5.371001116	3.92E-08	11	216.3636364	Unknown	All
2-Hexyloxy-6-Hydroxymethyl-Tetrahydro-Pyran-3,4,5-Triol	DB04141	2.092137592	-3.165505799	0.000774068	11	75.45454545	Unknown	All
Anisomycin	DB07374	1.891277641	-5.577128874	1.22E-08	11	216.3636364	Antibiotics	All
ATP	DB00171	1.970515971	-4.214424316	1.25E-05	11	171.7272727	Nucleotides	All
Lanoteplase	DB06245	1.949017199	-4.856763955	5.97E-07	11	166.1818182	Plasminogen activator	All
N-Formylmethionine	DB04464	2.063882064	-3.578761328	0.000172613	11	122.3636364	Amino acids	All
Quercetin	DB04216	1.837223587	-5.757614529	4.27E-09	11	272.7272727	Antioxidants	All
Calcium	DB01373	2.063513514	-3.886192919	5.09E-05	10	94.6	Calcium compounds	All
Flavin adenine dinucleotide	DB03147	2.132432432	-2.842901686	0.002235243	10	53.9	Vitamins	All
Minocycline	DB01017	1.888513514	-4.643560562	1.71E-06	10	207.2	Antibiotics	All
Puromycin	DB08437	1.885810811	-4.938754664	3.93E-07	10	220.6	Antibiotics	All
Arsenic trioxide	DB01169	1.76951952	-6.438383901	6.04E-11	9	405.2222222	Anticancer agents	All
Dasatinib	DB01254	1.83033033	-5.915501681	1.65E-09	9	275.2222222	Anticancer agents	All
Pyridoxal phosphate	DB00114	2.130630631	-2.421861781	0.007720611	9	35.33333333	Vitamins	All
(5S)-3-ANILINO-5-(2,4-DIFLUOROPHENYL)-5-METHYL-1,3-OXAZOLIDINE-2,4-DIONE	DB07763	2.0625	-2.744135958	0.00303352	8	76.375	Unknown	All
(S)-famoxadone	DB07778	2.0625	-2.856144679	0.002144098	8	76.375	Unknown	All
2-Nonyl-4-quinolinol 1-oxide	DB08453	2.0625	-3.0462012	0.001158763	8	76.375	Unknown	All
6-Hydroxy-5-undecyl-4,7-benzothiazoledione	DB04799	2.0625	-2.940938078	0.0016361	8	76.375	Sulfur compounds	All
Azoxystrobin	DB07401	2.0625	-2.808552682	0.002488237	8	76.375	Fungicide	All
Cannabidiol	DB09061	2.092905405	-2.798875666	0.002564044	8	90.125	Cannabinoids and similars	All
METHYL (2Z)-3-METHOXY-2-{2-[(E)-2-PHENYLVINYL]PHENYL}ACRYLATE	DB08330	2.0625	-3.25782985	0.000561338	8	76.375	Unknown	All
Resveratrol	DB02709	1.967060811	-3.948588665	3.93E-05	8	262.625	Pyrans	All
Ubiquinone Q2	DB08690	2.0625	-2.918881508	0.001756449	8	76.375	Vitamins	All
(2S)-2-(3-bromophenyl)-3-(5-chloro-2-hydroxyphenyl)-1,3-thiazolidin-4-one	DB08236	1.934362934	-3.803192804	7.14E-05	7	117.7142857	Unknown	All
CYT997	DB05147	1.841698842	-4.296003168	8.70E-06	7	229.4285714	Cytotoxic agent	All
N-[2-(2-methyl-1H-indol-3-yl)ethyl]thiophene-2-carboxamide	DB08235	1.934362934	-3.891112393	4.99E-05	7	117.7142857	Unknown	All
Nabiximols	DB14011	2.093629344	-2.471474566	0.006727856	7	99.14285714	Cannabinoids and similars	All
Antihemophilic factor, human recombinant	DB00025	1.888513514	-4.174871542	1.49E-05	6	198.3333333	Blood coagulation factors	All
Epothilone D	DB01873	1.806306306	-4.555306768	2.62E-06	6	262.6666667	Tubilin modulators	All
Fluocinolone acetonide	DB00591	1.974099099	-3.731774961	9.51E-05	6	143.1666667	Corticosteroids	All
Lonoctocog alfa	DB13998	1.888513514	-3.844917947	6.03E-05	6	198.3333333	Hemostatics	All
Moroctocog alfa	DB13999	1.888513514	-4.176243191	1.48E-05	6	198.3333333	Hemostatics	All
Myristic acid	DB08231	1.943693694	-3.865544411	5.54E-05	6	140.5	Lipids	All
Patupilone	DB03010	1.806306306	-4.906938194	4.63E-07	6	262.6666667	Tubilin modulators	All
Pseudoephedrine	DB00852	1.816441441	-4.329677827	7.47E-06	6	344	Sympathomimetics	All
Tenecteplase	DB00031	1.956081081	-3.867323803	5.50E-05	6	147	Plasminogen activator	All
